System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:10:09:452, 530047128775990,    1.006,   20.000, 4100,  13.120,  13.197,   3.666,  10.596,  10.659,   2.961, 68,  0,   0.000,   0.000,   0.000,   0.028,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:10:489, 530050037489243,    2.044,   21.000, 4100,  12.896,  26.579,   7.383,  10.580,  21.638,   6.010, 68,  0,   0.000,   0.000,   0.000,   0.036,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:11:517, 530052918641216,    3.071,    6.000, 1200,   5.343,  32.070,   8.908,   3.883,  25.629,   7.119, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:12:523, 530055739506675,    4.078,    6.000, 1100,   3.885,  35.980,   9.994,   2.223,  27.866,   7.741, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.091,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:13:531, 530058565991825,    5.086,    3.000, 1300,   2.666,  38.667,  10.741,   1.189,  29.065,   8.074, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.099,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:14:537, 530061387559193,    6.093,    4.000, 1200,   3.133,  41.821,  11.617,   1.686,  30.762,   8.545, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:15:560, 530064254707568,    7.115,    8.000, 1200,   4.413,  46.335,  12.871,   2.816,  33.642,   9.345, 39,  0,   0.000,   0.000,   0.000,   0.038,   0.148,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:16:563, 530067066205485,    8.118,    3.000, 1200,   2.932,  49.275,  13.688,   1.419,  35.065,   9.740, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:17:569, 530069886809565,    9.125,    1.000, 1100,   1.513,  50.798,  14.110,   0.324,  35.391,   9.831, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.179,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:18:574, 530072704498770,   10.130,    3.000, 1100,   2.839,  53.651,  14.903,   1.628,  37.028,  10.285, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.190,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:10:19:579, 530075521759645,   11.135,    1.000, 1100,   1.432,  55.091,  15.303,   0.335,  37.364,  10.379, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.202,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
