System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:14:25:155, 1297731218709740,    1.006,   24.000, 4400,  13.262,  13.339,   3.705,  10.223,  10.282,   2.856, 66,  0,   0.000,   0.000,   0.000,   0.252,   0.254,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,   24,  88.046
22:14:26:196, 1297734135430534,    2.046,   20.000, 4100,  13.297,  27.175,   7.549,  10.928,  21.652,   6.014, 60,  0,   0.000,   0.000,   0.000,   0.152,   0.412,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,   17,  88.085
22:14:27:226, 1297737022339300,    3.076,   17.000, 4600,  15.098,  42.724,  11.868,  12.914,  34.952,   9.709, 70,  0,   0.000,   0.000,   0.000,   0.022,   0.435,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.662
22:14:28:290, 1297740005651318,    4.140,   14.000, 4100,  14.093,  57.722,  16.034,  11.917,  47.634,  13.232, 59,  0,   0.000,   0.000,   0.000,   0.030,   0.467,   0.130,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.765
22:14:29:363, 1297743014936307,    5.214,   18.000, 4100,  14.200,  72.967,  20.269,  11.976,  60.491,  16.803, 71,  0,   0.000,   0.000,   0.000,   0.020,   0.489,   0.136,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.358
22:14:30:428, 1297745999590244,    6.279,   19.000, 3200,  15.357,  89.318,  24.810,  12.873,  74.198,  20.610, 50,  0,   0.000,   0.000,   0.000,   0.025,   0.515,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  85.655
22:14:31:452, 1297748870643534,    7.303,   24.000, 4100,  15.347, 105.036,  29.177,  12.863,  87.372,  24.270, 63,  0,   0.000,   0.000,   0.000,   0.058,   0.574,   0.160,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  86.382
22:14:32:498, 1297751803462366,    8.349,   17.000, 4100,  14.346, 120.046,  33.346,  12.002,  99.929,  27.758, 68,  0,   0.000,   0.000,   0.000,   0.021,   0.596,   0.166,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.383
22:14:33:529, 1297754693749887,    9.380,   19.000, 4100,  15.833, 136.371,  37.881,  13.439, 113.786,  31.607, 68,  0,   0.000,   0.000,   0.000,   0.015,   0.611,   0.170,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.330
22:14:34:595, 1297757681279671,   10.446,   16.000, 4100,  14.443, 151.764,  42.157,  12.068, 126.647,  35.180, 63,  0,   0.000,   0.000,   0.000,   0.015,   0.627,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  69.968
22:14:35:639, 1297760608391080,   11.490,   19.000, 4100,  15.235, 167.673,  46.576,  12.723, 139.933,  38.870, 63,  0,   0.000,   0.000,   0.000,   0.020,   0.648,   0.180,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.308
22:14:36:678, 1297763521736422,   12.529,    6.000, 1200,   3.767, 171.587,  47.663,   2.131, 142.147,  39.485, 44,  0,   0.000,   0.000,   0.000,   0.021,   0.669,   0.186,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.993
22:14:37:688, 1297766351976184,   13.539,    7.000, 1200,   4.262, 175.890,  48.858,   2.713, 144.886,  40.246, 44,  0,   0.000,   0.000,   0.000,   0.017,   0.686,   0.191,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.514
22:14:38:697, 1297769179745647,   14.548,    5.000, 1200,   2.958, 178.874,  49.687,   1.376, 146.274,  40.632, 43,  0,   0.000,   0.000,   0.000,   0.022,   0.708,   0.197,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.364
22:14:39:705, 1297772006412641,   15.556,   11.000, 4100,   5.608, 184.529,  51.258,   3.601, 149.905,  41.640, 53,  0,   0.000,   0.000,   0.000,   0.027,   0.734,   0.204,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.555
22:14:40:713, 1297774830476601,   16.564,    5.000, 1100,   3.534, 188.089,  52.247,   1.917, 151.837,  42.177, 44,  0,   0.000,   0.000,   0.000,   0.047,   0.782,   0.217,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  74.148
