System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:06:01:266, 1296318696937971,    1.011,   25.000, 2600,   7.993,   8.078,   2.244,   5.429,   5.487,   1.524, 50,  0,   0.000,   0.000,   0.000,   0.164,   0.165,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,   25,  87.348
22:06:02:288, 1296321563372273,    2.033,   27.000, 1300,   7.167,  15.406,   4.280,   4.591,  10.181,   2.828, 46,  0,   0.000,   0.000,   0.000,   0.109,   0.277,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,   18,  85.061
22:06:03:301, 1296324403797615,    3.046,    5.000, 1200,   2.951,  18.397,   5.110,   1.250,  11.447,   3.180, 44,  0,   0.000,   0.000,   0.000,   0.020,   0.297,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.572
22:06:04:308, 1296327224783643,    4.053,    4.000, 1100,   3.154,  21.570,   5.992,   1.385,  12.841,   3.567, 44,  0,   0.000,   0.000,   0.000,   0.047,   0.344,   0.096,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.055
22:06:05:314, 1296330045901414,    5.059,    4.000, 1200,   2.153,  23.737,   6.594,   0.907,  13.754,   3.820, 44,  0,   0.000,   0.000,   0.000,   0.037,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.536
22:06:06:321, 1296332868501461,    6.066,    4.000, 1200,   3.678,  27.440,   7.622,   2.104,  15.872,   4.409, 44,  0,   0.000,   0.000,   0.000,   0.060,   0.441,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  83.769
22:06:07:340, 1296335724176581,    7.085,   16.000, 4100,  10.579,  38.218,  10.616,   8.340,  24.368,   6.769, 72,  0,   0.000,   0.000,   0.000,   0.032,   0.474,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  89.847
22:06:08:406, 1296338711959060,    8.151,   10.000, 1700,   9.797,  48.660,  13.517,   7.719,  32.596,   9.054, 44,  0,   0.000,   0.000,   0.000,   0.031,   0.507,   0.141,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.307
22:06:09:410, 1296341528128841,    9.155,    2.000, 2200,   1.855,  50.524,  14.034,   0.455,  33.052,   9.181, 44,  0,   0.000,   0.000,   0.000,   0.036,   0.544,   0.151,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.810
22:06:10:415, 1296344344947802,   10.160,    4.000, 1300,   3.317,  53.856,  14.960,   1.968,  35.030,   9.731, 44,  0,   0.000,   0.000,   0.000,   0.026,   0.570,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.781
22:06:11:418, 1296347157781396,   11.164,    2.000, 1200,   1.797,  55.660,  15.461,   0.380,  35.412,   9.837, 45,  0,   0.000,   0.000,   0.000,   0.027,   0.597,   0.166,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.337
22:06:12:433, 1296350002676274,   12.178,   11.000, 4100,   4.943,  60.676,  16.854,   3.065,  38.522,  10.701, 46,  0,   0.000,   0.000,   0.000,   0.033,   0.631,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  90.494
22:06:13:452, 1296352858933501,   13.197,    3.000, 1200,   1.970,  62.683,  17.412,   0.543,  39.076,  10.854, 43,  0,   0.000,   0.000,   0.000,   0.020,   0.651,   0.181,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.941
22:06:14:457, 1296355675659196,   14.202,    2.000, 4100,   1.812,  64.504,  17.918,   0.434,  39.512,  10.976, 46,  0,   0.000,   0.000,   0.000,   0.025,   0.677,   0.188,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.315
22:06:15:460, 1296358485643076,   15.205,    4.000, 1200,   2.903,  67.413,  18.726,   1.514,  41.030,  11.397, 44,  0,   0.000,   0.000,   0.000,   0.048,   0.725,   0.201,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.028
22:06:16:466, 1296361307257165,   16.211,    2.000, 1200,   1.809,  69.234,  19.232,   0.495,  41.528,  11.536, 42,  0,   0.000,   0.000,   0.000,   0.025,   0.751,   0.209,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.396
22:06:17:474, 1296364133373987,   17.219,    4.000, 1200,   3.510,  72.772,  20.215,   2.067,  43.612,  12.114, 42,  0,   0.000,   0.000,   0.000,   0.031,   0.782,   0.217,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.084
22:06:18:477, 1296366945874555,   18.223,    2.000, 1200,   1.713,  74.491,  20.692,   0.478,  44.092,  12.248, 42,  0,   0.000,   0.000,   0.000,   0.025,   0.806,   0.224,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.062
22:06:19:486, 1296369772789334,   19.231,    4.000, 1200,   3.293,  77.812,  21.614,   1.777,  45.884,  12.745, 42,  0,   0.000,   0.000,   0.000,   0.025,   0.832,   0.231,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.424
22:06:20:492, 1296372593489107,   20.237,    2.000, 1300,   1.655,  79.478,  22.077,   0.471,  46.358,  12.877, 41,  0,   0.000,   0.000,   0.000,   0.030,   0.862,   0.239,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.416
22:06:21:498, 1296375411947374,   21.243,    4.000, 1200,   2.860,  82.354,  22.876,   1.528,  47.893,  13.304, 42,  0,   0.000,   0.000,   0.000,   0.019,   0.881,   0.245,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.827
22:06:22:501, 1296378225976029,   22.247,    2.000, 1200,   1.602,  83.962,  23.323,   0.421,  48.316,  13.421, 40,  0,   0.000,   0.000,   0.000,   0.019,   0.900,   0.250,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.460
22:06:23:509, 1296381049915395,   23.254,    5.000, 1300,   3.080,  87.065,  24.185,   1.633,  49.960,  13.878, 41,  0,   0.000,   0.000,   0.000,   0.049,   0.949,   0.264,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.662
22:06:24:513, 1296383865137516,   24.258,    2.000, 1200,   1.832,  88.905,  24.696,   0.455,  50.418,  14.005, 41,  0,   0.000,   0.000,   0.000,   0.029,   0.979,   0.272,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.582
22:06:25:519, 1296386683679147,   25.264,    4.000, 1200,   2.811,  91.731,  25.481,   1.463,  51.889,  14.414, 41,  0,   0.000,   0.000,   0.000,   0.027,   1.005,   0.279,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.989
22:06:26:523, 1296389498438345,   26.268,    2.000, 1200,   1.746,  93.484,  25.968,   0.511,  52.402,  14.556, 40,  0,   0.000,   0.000,   0.000,   0.026,   1.031,   0.286,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.676
22:06:27:529, 1296392317960528,   27.274,    4.000, 1200,   3.041,  96.543,  26.817,   1.692,  54.103,  15.029, 40,  0,   0.000,   0.000,   0.000,   0.028,   1.059,   0.294,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.264
22:06:28:544, 1296395165945551,   28.290,    2.000, 1300,   1.869,  98.441,  27.345,   0.547,  54.659,  15.183, 41,  0,   0.000,   0.000,   0.000,   0.032,   1.092,   0.303,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.131
22:06:29:549, 1296397981758569,   29.294,    4.000, 1200,   3.544, 102.001,  28.334,   2.069,  56.737,  15.760, 40,  0,   0.000,   0.000,   0.000,   0.022,   1.115,   0.310,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.315
22:06:30:552, 1296400793520076,   30.297,    2.000, 1200,   1.581, 103.587,  28.774,   0.402,  57.140,  15.872, 39,  0,   0.000,   0.000,   0.000,   0.028,   1.143,   0.317,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.399
22:06:31:557, 1296403609880166,   31.302,    3.000, 4100,   2.096, 105.693,  29.359,   0.859,  58.003,  16.112, 52,  0,   0.000,   0.000,   0.000,   0.043,   1.186,   0.329,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.218
22:06:32:576, 1296406466963941,   32.321,    3.000, 1200,   2.266, 108.002,  30.001,   1.042,  59.065,  16.407, 39,  0,   0.000,   0.000,   0.000,   0.023,   1.209,   0.336,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.737
22:06:33:593, 1296409319298967,   33.339,    2.000, 1200,   1.610, 109.640,  30.456,   0.382,  59.453,  16.515, 40,  0,   0.000,   0.000,   0.000,   0.038,   1.248,   0.347,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.625
22:06:34:601, 1296412144425810,   34.347,    4.000, 1100,   3.056, 112.720,  31.311,   1.545,  61.010,  16.947, 40,  0,   0.000,   0.000,   0.000,   0.018,   1.267,   0.352,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  59.085
