System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:55:43:488, 517528135004039,    1.011,   22.000, 1800,  20.528,  20.759,   5.766,  18.084,  18.287,   5.080, 72,  0,   0.000,   0.000,   0.000,   0.014,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:44:556, 517531128802650,    2.079,   21.000, 4100,  18.963,  41.012,  11.392,  16.737,  36.162,  10.045, 53,  0,   0.000,   0.000,   0.000,   0.046,   0.064,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:45:566, 517533959132062,    3.089,    5.000, 1200,   4.590,  45.646,  12.679,   3.187,  39.380,  10.939, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.077,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:46:573, 517536784299981,    4.097,    4.000, 1200,   2.498,  48.164,  13.379,   1.252,  40.641,  11.289, 40,  0,   0.000,   0.000,   0.000,   0.018,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:47:581, 517539608232045,    5.104,    6.000, 1200,   4.467,  52.663,  14.629,   2.837,  43.499,  12.083, 41,  0,   0.000,   0.000,   0.000,   0.028,   0.124,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:48:587, 517542430122147,    6.111,    2.000, 1200,   1.667,  54.341,  15.095,   0.376,  43.878,  12.188, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:49:599, 517545266082667,    7.122,    9.000, 1200,   5.071,  59.472,  16.520,   3.521,  47.440,  13.178, 40,  0,   0.000,   0.000,   0.000,   0.028,   0.162,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:50:600, 517548072957655,    8.124,    2.000, 1200,   1.689,  61.163,  16.990,   0.369,  47.809,  13.280, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:51:606, 517550891524832,    9.129,    3.000, 1100,   2.892,  64.071,  17.797,   1.693,  49.512,  13.753, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:52:611, 517553709411609,   10.135,    2.000, 1200,   1.495,  65.574,  18.215,   0.321,  49.834,  13.843, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:53:620, 517556537903779,   11.144,    4.000, 1200,   2.989,  68.590,  19.053,   1.637,  51.486,  14.302, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.195,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:54:626, 517559356851033,   12.149,    2.000, 1200,   1.716,  70.315,  19.532,   0.461,  51.950,  14.430, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.199,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:55:632, 517562178851816,   13.156,    3.000, 1400,   2.770,  73.104,  20.307,   1.478,  53.438,  14.844, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.219,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:56:635, 517564989780004,   14.159,    2.000, 1200,   1.443,  74.551,  20.709,   0.364,  53.802,  14.945, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.226,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:57:641, 517567807267754,   15.164,    2.000, 4100,   1.596,  76.156,  21.154,   0.365,  54.169,  15.047, 45,  0,   0.000,   0.000,   0.000,   0.006,   0.233,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:58:643, 517570618085574,   16.166,    3.000, 1100,   3.044,  79.208,  22.002,   1.724,  55.898,  15.527, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.239,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:55:59:647, 517573431517369,   17.170,    1.000, 1200,   1.332,  80.545,  22.374,   0.274,  56.173,  15.604, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.244,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
