System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:42:27:080, 525387164470426,    1.003,   21.000, 4100,  14.148,  14.193,   3.942,  11.704,  11.741,   3.261, 54,  0,   0.000,   0.000,   0.000,   0.031,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:28:117, 525390071869361,    2.040,   19.000, 1200,  12.267,  26.916,   7.477,  10.218,  22.339,   6.205, 39,  0,   0.000,   0.000,   0.000,   0.049,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:29:125, 525392896500849,    3.048,    3.000, 1200,   2.130,  29.062,   8.073,   0.637,  22.981,   6.384, 37,  0,   0.000,   0.000,   0.000,   0.015,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:30:134, 525395724418434,    4.057,    6.000, 1200,   3.554,  32.647,   9.069,   2.037,  25.036,   6.955, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:31:156, 525398591115702,    5.079,    4.000, 1100,   2.440,  35.143,   9.762,   0.982,  26.041,   7.234, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:32:161, 525401408540725,    6.084,    3.000, 1300,   2.911,  38.069,  10.575,   1.696,  27.746,   7.707, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:33:170, 525404237221889,    7.094,    8.000, 1200,   3.838,  41.941,  11.650,   2.273,  30.039,   8.344, 38,  0,   0.000,   0.000,   0.000,   0.037,   0.162,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:34:176, 525407055218799,    8.099,    3.000, 4100,   2.476,  44.430,  12.342,   0.971,  31.015,   8.615, 43,  0,   0.000,   0.000,   0.000,   0.006,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:35:180, 525409871736666,    9.104,    3.000, 1200,   2.242,  46.683,  12.968,   0.989,  32.009,   8.891, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.178,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:36:183, 525412682341936,   10.106,    1.000, 1200,   1.411,  48.098,  13.361,   0.318,  32.328,   8.980, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.186,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:37:192, 525415510544925,   11.115,    4.000, 1200,   2.901,  51.025,  14.174,   1.623,  33.965,   9.435, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.195,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:38:200, 525418335510820,   12.123,    1.000, 1100,   1.375,  52.410,  14.558,   0.291,  34.258,   9.516, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.206,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:39:207, 525421159304241,   13.130,    3.000, 1200,   3.092,  55.525,  15.424,   1.712,  35.983,   9.995, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.212,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:40:211, 525423974640523,   14.135,    1.000, 1200,   1.383,  56.915,  15.810,   0.276,  36.261,  10.072, 36,  0,   0.000,   0.000,   0.000,   0.004,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:41:221, 525426803737829,   15.144,   10.000, 3600,   5.130,  62.092,  17.248,   3.532,  39.825,  11.062, 42,  0,   0.000,   0.000,   0.000,   0.004,   0.220,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:42:242, 525429665991723,   16.165,    6.000, 1200,   3.615,  65.782,  18.273,   1.889,  41.753,  11.598, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.230,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:43:249, 525432489443697,   17.172,    4.000, 1200,   2.916,  68.720,  19.089,   1.544,  43.308,  12.030, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.234,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:44:258, 525435318901195,   18.182,    2.000, 1200,   1.801,  70.538,  19.594,   0.381,  43.693,  12.137, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:45:266, 525438143477540,   19.189,    6.000, 1200,   4.241,  74.811,  20.781,   2.732,  46.445,  12.901, 37,  0,   0.000,   0.000,   0.000,   0.005,   0.247,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:46:273, 525440966637201,   20.196,    2.000, 1200,   1.715,  76.538,  21.261,   0.425,  46.874,  13.020, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.256,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:47:281, 525443792578740,   21.204,    4.000, 1200,   3.065,  79.628,  22.119,   1.815,  48.704,  13.529, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:48:288, 525446615526730,   22.211,    2.000, 1100,   1.483,  81.121,  22.534,   0.324,  49.030,  13.619, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.277,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:49:293, 525449433343099,   23.217,    4.000, 1200,   2.717,  83.853,  23.292,   1.375,  50.412,  14.003, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.282,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:50:302, 525452261694954,   24.226,    1.000, 1200,   1.578,  85.445,  23.735,   0.341,  50.756,  14.099, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.290,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:51:306, 525455073743755,   25.229,    4.000, 4100,   2.797,  88.251,  24.514,   1.539,  52.300,  14.528, 45,  0,   0.000,   0.000,   0.000,   0.010,   0.300,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:52:310, 525457888363627,   26.233,    2.000, 1200,   1.860,  90.119,  25.033,   0.443,  52.745,  14.651, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.305,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:53:315, 525460707554097,   27.239,    1.000, 4100,   1.386,  91.513,  25.420,   0.308,  53.054,  14.737, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.311,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:54:326, 525463540614238,   28.249,    3.000, 1100,   2.638,  94.179,  26.161,   1.235,  54.302,  15.084, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.318,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:55:332, 525466360334788,   29.255,    1.000, 1200,   1.300,  95.487,  26.524,   0.270,  54.574,  15.159, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:56:338, 525469182216993,   30.262,    4.000, 1200,   2.545,  98.049,  27.236,   1.270,  55.852,  15.514, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.331,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:57:345, 525472004578116,   31.269,    1.000, 1200,   1.617,  99.677,  27.688,   0.357,  56.211,  15.614, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.339,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:58:355, 525474834268040,   32.278,    4.000, 1200,   2.930, 102.635,  28.510,   1.614,  57.840,  16.067, 36,  0,   0.000,   0.000,   0.000,   0.005,   0.344,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:42:59:362, 525477656431404,   33.285,    2.000, 1200,   1.509, 104.154,  28.932,   0.365,  58.208,  16.169, 36,  0,   0.000,   0.000,   0.000,   0.016,   0.359,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:00:371, 525480486283948,   34.294,    4.000, 1200,   2.920, 107.102,  29.751,   1.491,  59.713,  16.587, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.372,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:01:380, 525483314915772,   35.303,    1.000, 1200,   1.682, 108.799,  30.222,   0.373,  60.089,  16.691, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.380,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:02:388, 525486140329665,   36.311,    4.000, 1100,   2.971, 111.793,  31.054,   1.614,  61.716,  17.143, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.388,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:03:403, 525488984828041,   37.326,    2.000, 1200,   1.812, 113.632,  31.564,   0.369,  62.090,  17.247, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.396,   0.110,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:04:408, 525491803593860,   38.332,    3.000, 1200,   2.650, 116.297,  32.305,   1.479,  63.577,  17.660, 37,  0,   0.000,   0.000,   0.000,   0.004,   0.400,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:05:413, 525494620518401,   39.336,    1.000, 1100,   1.509, 117.814,  32.726,   0.374,  63.953,  17.765, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.412,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:06:422, 525497448113310,   40.345,    3.000, 1200,   2.617, 120.454,  33.459,   1.392,  65.357,  18.155, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.418,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:07:428, 525500268327670,   41.351,    1.000, 1200,   1.353, 121.815,  33.838,   0.282,  65.640,  18.233, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.424,   0.118,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:08:435, 525503091273759,   42.358,    3.000, 1200,   2.958, 124.794,  34.665,   1.548,  67.200,  18.667, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.435,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:43:09:440, 525505909624912,   43.364,    1.000, 1200,   1.385, 126.186,  35.052,   0.279,  67.480,  18.744, 36,  0,   0.000,   0.000,   0.000,   0.005,   0.441,   0.122,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
