System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:42:30:361, 1292363595449403,    1.008,   22.000, 4300,  13.760,  13.868,   3.852,  11.105,  11.192,   3.109, 61,  0,   0.000,   0.000,   0.000,   0.247,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,   27,  86.734
21:42:31:382, 1292366459950369,    2.030,   25.000, 4100,  11.346,  25.462,   7.073,   8.810,  20.195,   5.610, 71,  0,   0.000,   0.000,   0.000,   0.138,   0.391,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,   16,  82.780
21:42:32:463, 1292369487663731,    3.110,   15.000, 4100,  15.467,  42.168,  11.713,  13.064,  34.305,   9.529, 61,  0,   0.000,   0.000,   0.000,   0.037,   0.430,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  83.647
21:42:33:509, 1292372419789388,    4.156,   17.000, 4100,  14.366,  57.194,  15.887,  12.116,  46.979,  13.050, 73,  0,   0.000,   0.000,   0.000,   0.039,   0.471,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  81.613
21:42:34:542, 1292375318027557,    5.190,   16.000, 4100,  15.247,  72.958,  20.266,  12.810,  60.223,  16.729, 61,  0,   0.000,   0.000,   0.000,   0.032,   0.505,   0.140,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  86.947
21:42:35:615, 1292378323318579,    6.262,   21.000, 3100,  15.232,  89.288,  24.802,  12.842,  73.991,  20.553, 50,  0,   0.000,   0.000,   0.000,   0.023,   0.529,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  74.345
21:42:36:630, 1292381169803861,    7.277,   21.000, 4100,  15.341, 104.866,  29.130,  12.809,  86.997,  24.166, 74,  0,   0.000,   0.000,   0.000,   0.051,   0.581,   0.161,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  85.996
21:42:37:673, 1292384094248898,    8.321,   19.000, 4100,  15.516, 121.054,  33.626,  13.089, 100.653,  27.959, 58,  0,   0.000,   0.000,   0.000,   0.026,   0.608,   0.169,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.466
21:42:38:710, 1292387001421701,    9.358,   17.000, 3800,  15.637, 137.271,  38.131,  13.289, 114.435,  31.787, 64,  0,   0.000,   0.000,   0.000,   0.030,   0.639,   0.177,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.990
21:42:39:741, 1292389891453185,   10.389,   19.000, 4100,  14.414, 152.132,  42.259,  11.994, 126.800,  35.222, 52,  0,   0.000,   0.000,   0.000,   0.053,   0.693,   0.193,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  85.163
21:42:40:751, 1292392723466425,   11.399,    5.000, 1300,   3.307, 155.473,  43.187,   1.637, 128.453,  35.682, 44,  0,   0.000,   0.000,   0.000,   0.038,   0.731,   0.203,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.665
21:42:41:757, 1292395543742496,   12.405,    8.000, 1200,   4.908, 160.411,  44.559,   3.031, 131.503,  36.529, 44,  0,   0.000,   0.000,   0.000,   0.033,   0.764,   0.212,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.760
21:42:42:763, 1292398362554967,   13.411,    6.000, 1300,   3.445, 163.876,  45.521,   1.752, 133.265,  37.018, 44,  0,   0.000,   0.000,   0.000,   0.038,   0.803,   0.223,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  85.146
21:42:43:771, 1292401186576164,   14.418,    7.000, 3500,   4.522, 168.431,  46.786,   2.839, 136.125,  37.812, 50,  0,   0.000,   0.000,   0.000,   0.040,   0.843,   0.234,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  72.108
21:42:44:788, 1292404038444794,   15.435,   11.000, 1700,   7.573, 176.136,  48.927,   5.495, 141.715,  39.365, 45,  0,   0.000,   0.000,   0.000,   0.045,   0.888,   0.247,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  77.540
21:42:45:811, 1292406907318223,   16.459,    7.000, 4000,   4.315, 180.552,  50.153,   2.717, 144.496,  40.138, 46,  0,   0.000,   0.000,   0.000,   0.016,   0.904,   0.251,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  89.102
21:42:46:817, 1292409726633046,   17.464,    2.000, 1200,   1.895, 182.458,  50.683,   0.522, 145.021,  40.284, 42,  0,   0.000,   0.000,   0.000,   0.022,   0.926,   0.257,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.293
