System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:05:11:944, 1306272090984883,    1.009,   24.000, 1500,  12.919,  13.032,   3.620,  10.236,  10.326,   2.868, 59,  0,   0.000,   0.000,   0.000,   0.229,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,   25,  86.154
23:05:12:987, 1306275018790024,    2.053,   24.000, 2700,  12.268,  25.846,   7.179,   9.860,  20.624,   5.729, 48,  0,   0.000,   0.000,   0.000,   0.141,   0.379,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,   17,  85.917
23:05:14:047, 1306277987798702,    3.112,   17.000, 4100,  14.294,  40.985,  11.385,  11.718,  33.036,   9.177, 64,  0,   0.000,   0.000,   0.000,   0.032,   0.412,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.022
23:05:15:094, 1306280922977680,    4.159,   15.000, 4200,  15.560,  57.278,  15.910,  13.007,  46.655,  12.960, 59,  0,   0.000,   0.000,   0.000,   0.036,   0.450,   0.125,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.383
23:05:16:140, 1306283854344060,    5.205,   18.000, 3700,  14.014,  71.932,  19.981,  11.564,  58.748,  16.319, 54,  0,   0.000,   0.000,   0.000,   0.042,   0.494,   0.137,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  84.829
23:05:17:190, 1306286799088911,    6.256,   17.000, 3500,  14.872,  87.555,  24.321,  12.187,  71.550,  19.875, 53,  0,   0.000,   0.000,   0.000,   0.032,   0.528,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  86.340
23:05:18:234, 1306289723838091,    7.299,   25.000, 4100,  14.728, 102.922,  28.590,  12.034,  84.106,  23.363, 62,  0,   0.000,   0.000,   0.000,   0.040,   0.569,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  81.792
23:05:19:285, 1306292670141593,    8.350,   17.000, 4200,  14.893, 118.575,  32.938,  12.296,  97.029,  26.953, 66,  0,   0.000,   0.000,   0.000,   0.024,   0.595,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.185
23:05:20:378, 1306295733409051,    9.443,   19.000, 4200,  15.113, 135.090,  37.525,  12.643, 110.844,  30.790, 68,  0,   0.000,   0.000,   0.000,   0.018,   0.615,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.720
23:05:21:456, 1306298756702713,   10.521,   17.000, 3900,  16.134, 152.490,  42.358,  13.600, 125.512,  34.864, 59,  0,   0.000,   0.000,   0.000,   0.031,   0.648,   0.180,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  73.178
23:05:22:486, 1306301644143693,   11.551,   20.000, 4100,  15.486, 168.442,  46.789,  12.829, 138.726,  38.535, 57,  0,   0.000,   0.000,   0.000,   0.016,   0.664,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.712
23:05:23:532, 1306304575931269,   12.597,   17.000, 4100,  15.147, 184.283,  51.190,  12.589, 151.892,  42.192, 69,  0,   0.000,   0.000,   0.000,   0.020,   0.685,   0.190,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.503
23:05:24:592, 1306307546157172,   13.657,   19.000, 3800,  14.356, 199.494,  55.415,  11.836, 164.433,  45.676, 61,  0,   0.000,   0.000,   0.000,   0.017,   0.704,   0.195,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.125
23:05:25:626, 1306310444971910,   14.691,   17.000, 4100,  15.756, 215.788,  59.941,  13.283, 178.169,  49.491, 66,  0,   0.000,   0.000,   0.000,   0.017,   0.722,   0.200,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.254
23:05:26:670, 1306313372890574,   15.736,   19.000, 4200,  14.054, 230.467,  64.019,  11.338, 190.011,  52.781, 71,  0,   0.000,   0.000,   0.000,   0.023,   0.746,   0.207,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.962
23:05:27:732, 1306316349899347,   16.798,   17.000, 4100,  14.333, 245.689,  68.247,  11.704, 202.441,  56.234, 62,  0,   0.000,   0.000,   0.000,   0.011,   0.758,   0.211,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.102
23:05:28:793, 1306319323152878,   17.858,   19.000, 4100,  16.280, 262.956,  73.043,  13.608, 216.875,  60.243, 61,  0,   0.000,   0.000,   0.000,   0.009,   0.767,   0.213,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.148
23:05:29:860, 1306322315850990,   18.926,   17.000, 3000,  13.272, 277.126,  76.979,  10.790, 228.394,  63.443, 57,  0,   0.000,   0.000,   0.000,   0.024,   0.793,   0.220,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  86.320
23:05:30:922, 1306325292726653,   19.988,   21.000,  800,   7.282, 284.859,  79.127,   4.688, 233.373,  64.826, 52,  0,   0.000,   0.000,   0.000,   0.017,   0.811,   0.225,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.833
23:05:31:972, 1306328235116179,   21.037,   18.000, 2000,   6.981, 292.186,  81.163,   4.290, 237.876,  66.077, 50,  0,   0.000,   0.000,   0.000,   0.011,   0.823,   0.229,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.617
23:05:33:033, 1306331210279764,   22.099,   22.000, 2400,   7.739, 300.400,  83.444,   5.088, 243.276,  67.577, 50,  0,   0.000,   0.000,   0.000,   0.010,   0.834,   0.232,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.319
23:05:34:069, 1306334112402366,   23.134,   18.000, 2500,   6.661, 307.296,  85.360,   4.228, 247.653,  68.793, 50,  0,   0.000,   0.000,   0.000,   0.010,   0.844,   0.234,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.033
23:05:35:082, 1306336954706838,   24.148,   21.000, 2400,   7.744, 315.148,  87.541,   5.084, 252.808,  70.225, 50,  0,   0.000,   0.000,   0.000,   0.012,   0.856,   0.238,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.544
23:05:36:100, 1306339807452651,   25.166,   19.000, 2500,   6.853, 322.121,  89.478,   4.281, 257.165,  71.435, 49,  0,   0.000,   0.000,   0.000,   0.015,   0.871,   0.242,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.149
23:05:37:143, 1306342730174649,   26.208,   23.000, 2300,   7.730, 330.181,  91.717,   4.943, 262.319,  72.866, 51,  0,   0.000,   0.000,   0.000,   0.010,   0.882,   0.245,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.534
