Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9606,0.7341430499325237,0.64,0.8607594936708861,3.6396453273146254e-08,6.838666666666667e-05,0.341754674911499,0.0001118302345275879,7.330501556396484,0.0012502670288085938,26392681.52836041,20170730.49461617,2.8107881779488677,0.13104151095388486
NaiveBayes,0,0.90485,0.5395596419066053,0.6558823529411765,0.458281956432388,2.4644259007540304e-09,6.614527777777779e-05,0.014010429382324219,0.00010008811950683594,10.432191848754883,0.0013036727905273438,367164620.25624174,218939283.88819417,64.58403060377103,0.08673632666255049
RandomForest,0,0.96855,0.7905427905427905,0.6982352941176471,0.9109746738296239,1.543067015246566e-06,9.55588888888889e-05,3.620317220687866,0.006599938869476319,8.523590087890625,47.97812747955322,627678.50678555,512319.1557668479,0.26753180480023625,0.11363169627033201
GradientBoosting,0,0.9721,0.8074534161490683,0.6882352941176471,0.9766277128547579,1.3458246001721361e-06,8.28161111111111e-05,3.4079220294952393,0.0009498119354248047,9.965617179870605,0.17969512939453125,722308.0926561044,599969.2798346768,0.28524713640352317,0.09754538855491354
SVM,0,0.94915,0.5732270247587075,0.40176470588235297,1.0,2.901519176248757e-05,0.0005381622222222222,153.87530708312988,0.7263304114341735,8.003952980041504,0.599055290222168,32712.17394561952,19756.09982008827,0.006168306130412656,0.1185851544064266
KNN,0,0.95475,0.676670239371204,0.5570588235294117,0.8616924476797089,8.601481936636958e-09,7.64125e-05,0.08607649803161621,0.025580120086669923,7.408281326293945,9.046575546264648,110998314.82914117,78669029.86670355,11.091877827665769,0.1288760453266455
DecisionTree,0,0.9536,0.7303893085415456,0.7394117647058823,0.7215843857634903,9.105686488828231e-09,6.513027777777777e-05,0.10606670379638672,0.00010356903076171876,6.187312126159668,0.5729608535766602,104725766.82383828,80212437.51777095,8.990568820075707,0.15412185138813728
LogisticRegression,10,0.95335,0.6805888394385484,0.5847058823529412,0.814086814086814,2.8139120936962796e-08,7.155944444444443e-05,0.28254175186157227,5.002021789550781e-05,6.22186279296875,0.0012502670288085938,33879878.55539954,24186570.75191518,3.374191579540718,0.1532258154386447
NaiveBayes,10,0.90215,0.5258056699781924,0.638235294117647,0.4470539761021838,1.5768032921264511e-09,6.479166666666666e-05,0.013961315155029297,0.00010008811950683594,6.769250869750977,0.0013036727905273438,572138582.221867,333463072.1560072,64.61783793162334,0.13327176335439728
RandomForest,10,0.96395,0.7582970164264163,0.6652941176470588,0.8815276695245519,1.6847220399936475e-06,8.626222222222221e-05,5.59337043762207,0.00845564603805542,8.534093856811523,53.21677494049072,572171.5375692685,450102.152417544,0.17233795092781437,0.11295282383502488
GradientBoosting,10,0.96635,0.7689667009955372,0.6588235294117647,0.9233305853256389,1.6033821917325057e-06,8.187083333333334e-05,4.871454238891602,0.0008502364158630371,9.907644271850586,0.18744659423828125,602694.731788076,479590.3964510446,0.19836992253464603,0.09753579897348309
SVM,10,0.94315,0.5200506542845083,0.3623529411764706,0.9207772795216741,2.609052697327884e-05,0.00025094944444444445,258.99165201187134,1.0534237623214722,8.00351333618164,0.643671989440918,36149.13569840682,19932.54696684084,0.003641623166899484,0.11784199768072894
KNN,10,0.94995,0.641347187388033,0.5264705882352941,0.8203483043079743,1.2708993055109238e-08,6.924833333333333e-05,0.11303281784057617,0.028122568130493165,7.403597831726074,9.046575546264648,74746283.66549492,50464044.209246,8.404196393120351,0.12830923850688533
DecisionTree,10,0.9475,0.6952988972721996,0.7047058823529412,0.6861397479954181,1.5637079361921483e-08,6.586166666666667e-05,0.18607163429260254,0.00014997720718383788,6.187090873718262,0.6199579238891602,60593156.693141654,44464754.65011398,5.092124888364399,0.153141439060613
LogisticRegression,20,0.9506,0.6604810996563574,0.5652941176470588,0.7942148760330578,3.7386291779732776e-08,6.398638888888889e-05,0.3954172134399414,0.0,6.222221374511719,0.0012502670288085938,25426431.84835259,17666397.714640588,2.4040430403376547,0.15277502081394478
NaiveBayes,20,0.90115,0.5157972079353417,0.6194117647058823,0.4418799832144356,1.9119966131183845e-09,6.356527777777778e-05,0.015935420989990234,0.00014383792877197265,6.769250869750977,0.0013036727905273438,471313596.3825077,269768892.0557754,56.55012193063826,0.1331240365203293
RandomForest,20,0.96095,0.7374789915966387,0.6452941176470588,0.8603921568627451,1.7642916163436987e-06,8.737833333333334e-05,6.861689805984497,0.009099960327148438,8.53243350982666,56.29081058502197,544666.1941246786,418002.8883915365,0.14004567783899194,0.1126232040241849
GradientBoosting,20,0.9626,0.7431318681318682,0.6364705882352941,0.8927392739273927,1.7019157173722978e-06,8.701250000000001e-05,5.984791994094849,0.0008499264717102051,9.910910606384277,0.18814849853515625,565597.9260161149,436644.34175344446,0.1608410118429831,0.09712528325903023
SVM,20,0.94015,0.48868005126014524,0.33647058823529413,0.8923556942277691,2.70145728640063e-05,0.0002521211111111111,271.8435254096985,1.109795880317688,8.00351333618164,0.674616813659668,34801.58671146853,18089.497610056726,0.0034584233653646495,0.11746716229606882
KNN,20,0.9447,0.6015850144092219,0.49117647058823527,0.7760223048327137,1.064624439878226e-08,7.153527777777779e-05,0.12200665473937988,0.025835037231445312,7.403712272644043,9.046575546264648,88735516.92163453,56506782.286346205,7.743020264083028,0.12759815146930675
DecisionTree,20,0.9438,0.6703812316715543,0.6723529411764706,0.6684210526315789,2.5718435861398972e-08,6.557361111111111e-05,0.23507165908813477,9.924173355102539e-05,6.187090873718262,0.6466608047485352,36697410.56906799,26066174.291638605,4.014945926110743,0.1525434197207457
LogisticRegression,30,0.94635,0.6185567010309279,0.5117647058823529,0.7816711590296496,2.7773171066177372e-08,6.731111111111111e-05,0.328357458114624,5.37872314453125e-05,6.221418380737305,0.0012502670288085938,34074250.92889305,22271734.817642644,2.882072499384635,0.15211161540430712
NaiveBayes,30,0.9011,0.504012036108325,0.5911764705882353,0.4392482517482518,1.5432388119494275e-09,6.37375e-05,0.015006303787231445,0.00010007619857788086,6.769250869750977,0.0013036727905273438,583901851.7566478,326593675.71999717,60.04809797111581,0.13311665017862592
RandomForest,30,0.9575,0.708904109589041,0.6088235294117647,0.8483606557377049,2.203909141637679e-06,9.826972222222223e-05,8.347769975662231,0.009449899196624756,8.5404691696167,58.80393314361572,434455.29668636963,321657.5929542491,0.11470129181704497,0.11211327867166496
GradientBoosting,30,0.95905,0.7104984093319194,0.5911764705882353,0.8901682905225864,1.8806299155200772e-06,9.394666666666668e-05,7.141865015029907,0.000799870491027832,9.922135353088379,0.18849945068359375,509962.11008096207,377798.1002367684,0.1342856519944999,0.09665762115424928
SVM,30,0.9382,0.4635416666666667,0.31411764705882356,0.8841059602649006,2.73902009933253e-05,0.0002524652777777778,277.1271479129791,1.172682011127472,8.00351333618164,0.6941328048706055,34253.12578862161,16923.63143956581,0.003385449628683094,0.11722351929603975
KNN,30,0.94435,0.5900552486187846,0.4711764705882353,0.7891625615763547,1.1165395148312143e-08,6.84425e-05,0.11411023139953613,0.026759850978851318,7.403597831726074,9.046575546264648,84578287.41894156,52846786.054677375,8.275769739643511,0.12755284950152868
DecisionTree,30,0.93705,0.6381144006898534,0.6529411764705882,0.6239460370994941,2.7523562752034313e-08,6.707694444444444e-05,0.2955937385559082,9.990930557250975e-05,6.187090873718262,0.6767206192016602,34045374.44669081,23184295.087040983,3.1700603828005907,0.15145243849260942
LogisticRegression,40,0.94535,0.6081032628182144,0.4988235294117647,0.7786960514233241,3.002152167757327e-08,6.552583333333334e-05,0.26209497451782227,5.0032138824462896e-05,6.222902297973633,0.0012502670288085938,31489076.741443023,20255577.626915585,3.606898612761142,0.15191464604993635
NaiveBayes,40,0.90115,0.5013871374527112,0.5847058823529412,0.4388520971302428,1.4672115245119587e-09,6.475861111111112e-05,0.013993501663208008,0.0001001596450805664,6.769250869750977,0.0013036727905273438,614192285.8053826,341727916.5793689,64.3977484470039,0.1331240365203293
RandomForest,40,0.95605,0.6967919972404277,0.5941176470588235,0.8423686405337781,2.3316258333041114e-06,9.973277777777778e-05,10.062676429748535,0.010054516792297364,8.53625202178955,60.67481327056885,410035.7726115927,298843.83132477757,0.09500951428524583,0.11199880199876906
GradientBoosting,40,0.95625,0.691358024691358,0.5764705882352941,0.8634361233480177,2.1495095874710406e-06,0.00010198472222222222,8.288959980010986,0.0009499073028564453,9.894492149353027,0.18834686279296875,444868.9159488958,321635.2365772699,0.1153642920590784,0.09664467721696322
SVM,40,0.9365,0.44589877835951136,0.30058823529411766,0.8631756756756757,2.887677020962676e-05,0.0002504825,294.7992355823517,1.235729968547821,8.00351333618164,0.7158613204956055,32430.912224657153,15441.435282497778,0.003176738223727145,0.11701111257806568
KNN,40,0.93945,0.5503156331229112,0.43588235294117644,0.7462235649546828,1.1037878009088723e-08,6.57525e-05,0.12562823295593262,0.025199592113494873,7.403552055358887,9.046575546264648,85111467.9131664,49857013.51924479,7.478016508673943,0.12689179369246162
DecisionTree,40,0.92985,0.5943914426134721,0.6047058823529412,0.5844229675952246,3.1402800284137555e-08,6.464138888888889e-05,0.3690981864929199,0.00014995336532592775,6.187090873718262,0.6974725723266602,29610416.637579087,18927975.76124815,2.519248357287273,0.15028872518259734
LogisticRegression,50,0.9418,0.5764192139737991,0.46588235294117647,0.7557251908396947,3.1252114173523306e-08,6.591083333333333e-05,0.32267332077026367,5.793571472167969e-05,6.221244812011719,0.0012502670288085938,30135561.22221933,18444167.033734303,2.9187414619584895,0.15138449433489773
NaiveBayes,50,0.90215,0.4965268844867507,0.5676470588235294,0.4412437128486511,1.3340427520271712e-09,6.307083333333333e-05,0.013063430786132812,0.00010023117065429687,6.769250869750977,0.0013036727905273438,676252690.2748207,372197130.663349,69.0591939261206,0.13327176335439728
