System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:29:45:736, 1421411635598809,    0.108,   15.000, 4100,   9.722,   1.053,   0.292,   7.718,   0.836,   0.232, 53,  0,   0.000,   0.000,   0.000,   0.107,   0.012,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:45:844, 1421411939861738,    0.217,    8.000, 1400,   7.260,   1.841,   0.511,   5.584,   1.442,   0.401, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:45:952, 1421412242343995,    0.325,    1.000, 1300,   1.300,   1.981,   0.550,   0.300,   1.474,   0.410, 38,  0,   0.000,   0.000,   0.000,   0.015,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:061, 1421412548820202,    0.434,    4.000, 1200,   3.602,   2.375,   0.660,   1.157,   1.601,   0.445, 39,  0,   0.000,   0.000,   0.000,   0.036,   0.018,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:172, 1421412857854191,    0.544,    4.000, 1200,   2.781,   2.682,   0.745,   0.560,   1.662,   0.462, 39,  0,   0.000,   0.000,   0.000,   0.054,   0.024,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:281, 1421413163252145,    0.653,    1.000, 1300,   1.243,   2.817,   0.783,   0.311,   1.696,   0.471, 38,  0,   0.000,   0.000,   0.000,   0.000,   0.024,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:389, 1421413465615389,    0.761,    3.000, 1200,   2.263,   3.061,   0.850,   0.993,   1.803,   0.501, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.024,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:496, 1421413768060511,    0.869,    2.000, 1300,   1.432,   3.216,   0.893,   0.302,   1.836,   0.510, 38,  0,   0.000,   0.000,   0.000,   0.018,   0.026,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:605, 1421414071259461,    0.977,    2.000, 2100,   1.603,   3.389,   0.941,   0.266,   1.865,   0.518, 39,  0,   0.000,   0.000,   0.000,   0.096,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:714, 1421414377415743,    1.086,   35.000, 3400,   9.357,   4.411,   1.225,   7.114,   2.642,   0.734, 46,  0,   0.000,   0.000,   0.000,   0.000,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:29:46:716, 1421414383851277,    1.089,   37.000, 2800,   0.000,   4.411,   1.225,   0.000,   2.642,   0.734, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.088696
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 4.410889
Cumulative Processor Energy_0 (mWh) = 1.225247
Average Processor Power_0 (Watt) = 4.051533

Cumulative IA Energy_0 (Joules) = 2.641846
Cumulative IA Energy_0 (mWh) = 0.733846
Average IA Power_0 (Watt) = 2.426614

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.036499
Cumulative GT Energy_0 (mWh) = 0.010139
Average GT Power_0 (Watt) = 0.033525
