System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:11:42:766, 510125662031564,    1.003,   22.000, 1500,  13.183,  13.229,   3.675,  10.602,  10.638,   2.955, 60,  0,   0.000,   0.000,   0.000,   0.034,   0.035,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:43:837, 510128666550271,    2.075,   18.000, 4500,  11.508,  25.563,   7.101,   9.339,  20.648,   5.736, 74,  0,   0.000,   0.000,   0.000,   0.044,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:44:891, 510131621693206,    3.129,    4.000, 1200,   4.019,  29.801,   8.278,   2.520,  23.304,   6.473, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:45:901, 510134450027713,    4.138,    4.000, 1200,   2.360,  32.182,   8.939,   0.985,  24.298,   6.750, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.107,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:46:905, 510137265798546,    5.143,    5.000, 4100,   4.036,  36.236,  10.066,   2.483,  26.792,   7.442, 49,  0,   0.000,   0.000,   0.000,   0.013,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:47:925, 510140125398646,    6.163,    2.000, 1200,   2.033,  38.309,  10.642,   0.717,  27.523,   7.645, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.128,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:48:933, 510142950268589,    7.171,    7.000, 1200,   3.007,  41.339,  11.483,   1.536,  29.071,   8.075, 39,  0,   0.000,   0.000,   0.000,   0.028,   0.156,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:49:944, 510145784768198,    8.182,    4.000, 1100,   2.968,  44.341,  12.317,   1.594,  30.683,   8.523, 40,  0,   0.000,   0.000,   0.000,   0.014,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:50:949, 510148600365851,    9.186,    2.000, 1300,   1.646,  45.993,  12.776,   0.468,  31.153,   8.654, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:51:954, 510151420248096,   10.192,    4.000, 1100,   3.028,  49.039,  13.622,   1.542,  32.704,   9.084, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.195,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:52:961, 510154243846029,   11.200,    1.000, 1200,   1.373,  50.422,  14.006,   0.246,  32.951,   9.153, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:53:969, 510157067057511,   12.207,    3.000, 1100,   2.961,  53.405,  14.835,   1.583,  34.546,   9.596, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:54:976, 510159891240288,   13.214,    1.000, 1100,   1.322,  54.736,  15.205,   0.296,  34.844,   9.679, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.223,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:55:981, 510162706862179,   14.219,    3.000, 1100,   2.320,  57.066,  15.852,   1.099,  35.948,   9.986, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.229,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:56:985, 510165523057866,   15.223,    1.000, 1200,   1.514,  58.587,  16.274,   0.310,  36.259,  10.072, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.241,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:57:990, 510168338542289,   16.228,    3.000, 1200,   2.761,  61.360,  17.045,   1.469,  37.734,  10.482, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.255,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:11:58:996, 510171160292429,   17.234,    1.000, 1200,   1.493,  62.863,  17.462,   0.278,  38.014,  10.559, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:00:006, 510173990594272,   18.244,    4.000, 1100,   2.876,  65.767,  18.269,   1.548,  39.577,  10.994, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.274,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:01:029, 510176857646406,   19.267,    2.000, 1200,   1.551,  67.353,  18.709,   0.402,  39.988,  11.108, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.285,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:02:035, 510179678196428,   20.273,    3.000, 1100,   2.860,  70.231,  19.508,   1.477,  41.474,  11.521, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.295,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:03:039, 510182492349992,   21.277,    1.000, 1200,   1.371,  71.607,  19.891,   0.275,  41.750,  11.597, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.301,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:04:044, 510185308961838,   22.282,    3.000, 1300,   2.938,  74.559,  20.711,   1.709,  43.468,  12.074, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.308,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:05:046, 510188118389606,   23.284,    1.000, 1200,   1.325,  75.887,  21.080,   0.266,  43.735,  12.149, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.317,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:06:050, 510190931853271,   24.287,    3.000, 4700,   2.367,  78.263,  21.740,   1.145,  44.885,  12.468, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:07:056, 510193753851896,   25.294,    1.000, 1200,   1.554,  79.827,  22.174,   0.345,  45.232,  12.564, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:08:062, 510196572517678,   26.300,    1.000, 4100,   1.575,  81.411,  22.614,   0.342,  45.576,  12.660, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.349,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:09:069, 510199394994936,   27.307,    3.000, 1300,   3.097,  84.529,  23.480,   1.704,  47.292,  13.137, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:10:075, 510202214782365,   28.313,    1.000, 1200,   1.453,  85.991,  23.886,   0.320,  47.615,  13.226, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.361,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:11:080, 510205032058648,   29.318,    3.000, 1200,   2.709,  88.713,  24.642,   1.488,  49.110,  13.642, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:12:085, 510207851161073,   30.323,    2.000, 1200,   1.612,  90.334,  25.093,   0.355,  49.467,  13.741, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.376,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:12:13:088, 510210662210999,   31.326,    3.000, 1200,   2.905,  93.247,  25.902,   1.670,  51.142,  14.206, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.383,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
