System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
08:27:10:084, 1400791998546885,    1.033,   22.000, 4100,  19.304,  19.947,   5.541,  16.634,  17.188,   4.774, 68,  0,   0.000,   0.000,   0.000,   0.050,   0.052,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  84.614
08:27:11:105, 1400794862751995,    2.055,   16.000, 4100,  13.554,  33.796,   9.388,  11.365,  28.800,   8.000, 77,  0,   0.000,   0.000,   0.000,   0.059,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  88.164
08:27:12:140, 1400797763758256,    3.090,   14.000, 4100,  17.887,  52.307,  14.530,  15.633,  44.979,  12.494, 81,  0,   0.000,   0.000,   0.000,   0.027,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.853
08:27:13:200, 1400800732874839,    4.149,   16.000, 4100,  19.342,  72.793,  20.220,  17.067,  63.056,  17.515, 61,  0,   0.000,   0.000,   0.000,   0.047,   0.190,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.801
08:27:14:297, 1400803810402460,    5.247,   15.000, 4100,  18.119,  92.686,  25.746,  15.785,  80.386,  22.329, 83,  0,   0.000,   0.000,   0.000,   0.034,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.197
08:27:15:358, 1400806784456611,    6.308,   18.000, 4700,  18.781, 112.611,  31.281,  16.469,  97.858,  27.183, 84,  0,   0.000,   0.000,   0.000,   0.018,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.270
08:27:16:419, 1400809758028344,    7.369,   10.000, 1200,   5.805, 118.770,  32.992,   4.148, 102.259,  28.405, 42,  0,   0.000,   0.000,   0.000,   0.032,   0.280,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.926
08:27:17:424, 1400812575619150,    8.374,    7.000, 1300,   4.499, 123.291,  34.248,   2.733, 105.006,  29.168, 41,  0,   0.000,   0.000,   0.000,   0.041,   0.321,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.887
08:27:18:430, 1400815396902347,    9.380,    5.000, 1200,   2.815, 126.124,  35.034,   1.244, 106.258,  29.516, 41,  0,   0.000,   0.000,   0.000,   0.029,   0.350,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.233
08:27:19:442, 1400818232274927,   10.392,    9.000, 4100,   6.085, 132.279,  36.744,   4.231, 110.538,  30.705, 65,  0,   0.000,   0.000,   0.000,   0.023,   0.373,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.224
08:27:20:447, 1400821048493352,   11.396,    5.000, 1300,   3.881, 136.178,  37.827,   2.344, 112.893,  31.359, 42,  0,   0.000,   0.000,   0.000,   0.039,   0.412,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.830
08:27:21:454, 1400823873277215,   12.404,    5.000, 1200,   3.214, 139.417,  38.727,   1.769, 114.675,  31.854, 43,  0,   0.000,   0.000,   0.000,   0.019,   0.431,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.203
08:27:22:462, 1400826698401176,   13.412,    2.000, 1200,   1.649, 141.079,  39.189,   0.421, 115.100,  31.972, 41,  0,   0.000,   0.000,   0.000,   0.032,   0.463,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.369
08:27:23:467, 1400829515627259,   14.417,    4.000, 1200,   2.959, 144.053,  40.015,   1.620, 116.728,  32.425, 42,  0,   0.000,   0.000,   0.000,   0.036,   0.500,   0.139,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.609
08:27:24:474, 1400832337102257,   15.423,    3.000, 4100,   1.847, 145.912,  40.531,   0.465, 117.196,  32.555, 47,  0,   0.000,   0.000,   0.000,   0.045,   0.545,   0.151,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.770
08:27:25:494, 1400835197607234,   16.444,    9.000, 1300,   6.435, 152.478,  42.355,   4.642, 121.933,  33.870, 42,  0,   0.000,   0.000,   0.000,   0.048,   0.594,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  78.726
08:27:26:505, 1400838032191580,   17.455,    2.000, 1200,   1.686, 154.182,  42.828,   0.446, 122.384,  33.995, 41,  0,   0.000,   0.000,   0.000,   0.034,   0.628,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.975
