System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:10:01:912, 509842948277999,    1.009,   28.000, 1400,  13.605,  13.724,   3.812,  10.986,  11.082,   3.078, 64,  0,   0.000,   0.000,   0.000,   0.014,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:02:954, 509845868848916,    2.051,   19.000, 1200,  11.633,  25.844,   7.179,   9.498,  20.978,   5.827, 40,  0,   0.000,   0.000,   0.000,   0.033,   0.048,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:03:956, 509848678311669,    3.053,    4.000, 4100,   2.972,  28.823,   8.006,   1.322,  22.303,   6.195, 43,  0,   0.000,   0.000,   0.000,   0.015,   0.063,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:04:964, 509851505492710,    4.061,    4.000, 1300,   2.950,  31.798,   8.833,   1.371,  23.686,   6.579, 39,  0,   0.000,   0.000,   0.000,   0.036,   0.099,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:05:976, 509854342740909,    5.074,    5.000, 1200,   4.470,  36.322,  10.089,   2.710,  26.429,   7.341, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.111,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:06:991, 509857187934566,    6.089,    9.000, 4100,   4.385,  40.772,  11.326,   2.477,  28.943,   8.040, 45,  0,   0.000,   0.000,   0.000,   0.008,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:08:001, 509860019313608,    7.099,   15.000, 1200,   5.035,  45.858,  12.738,   3.121,  32.095,   8.915, 39,  0,   0.000,   0.000,   0.000,   0.043,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:09:007, 509862838757988,    8.104,    2.000, 1200,   1.694,  47.561,  13.211,   0.421,  32.519,   9.033, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:10:027, 509865698163230,    9.124,    3.000, 1100,   2.873,  50.492,  14.026,   1.672,  34.224,   9.507, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:11:040, 509868537532360,   10.137,    1.000, 1200,   1.624,  52.137,  14.483,   0.331,  34.560,   9.600, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:12:047, 509871358450066,   11.144,    4.000, 1200,   3.260,  55.418,  15.394,   1.764,  36.335,  10.093, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:13:050, 509874170376886,   12.147,    2.000, 1200,   1.740,  57.163,  15.879,   0.403,  36.739,  10.205, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.197,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:14:053, 509876983878198,   13.150,    4.000, 1200,   3.039,  60.214,  16.726,   1.601,  38.346,  10.652, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.210,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:15:064, 509879818473098,   14.162,    2.000, 1200,   1.501,  61.732,  17.148,   0.381,  38.731,  10.758, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.218,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:16:072, 509882642260634,   15.169,    3.000, 1100,   3.133,  64.888,  18.024,   1.711,  40.454,  11.237, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.230,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:17:077, 509885459944366,   16.174,    1.000, 1300,   1.401,  66.296,  18.415,   0.314,  40.770,  11.325, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:18:085, 509888285288414,   17.182,    4.000, 1300,   2.926,  69.245,  19.235,   1.565,  42.347,  11.763, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:19:090, 509891101954053,   18.187,    1.000, 1200,   1.697,  70.950,  19.708,   0.327,  42.676,  11.854, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.248,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:20:097, 509893925993371,   19.194,    3.000, 1200,   2.985,  73.957,  20.544,   1.723,  44.411,  12.336, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.255,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:21:104, 509896748592817,   20.201,    2.000, 1200,   1.623,  75.591,  20.998,   0.297,  44.710,  12.420, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.265,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:22:115, 509899582257913,   21.212,    4.000, 1200,   2.988,  78.612,  21.837,   1.698,  46.427,  12.896, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.273,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:23:127, 509902420447969,   22.225,    3.000, 1200,   2.092,  80.730,  22.425,   0.570,  47.004,  13.057, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:24:131, 509905234514655,   23.228,    3.000, 1200,   3.110,  83.852,  23.292,   1.896,  48.908,  13.585, 37,  0,   0.000,   0.000,   0.000,   0.018,   0.302,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:25:137, 509908053514826,   24.234,    1.000, 1200,   1.568,  85.429,  23.730,   0.328,  49.237,  13.677, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.308,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:26:144, 509910877778649,   25.242,    5.000, 4700,   3.418,  88.872,  24.687,   1.912,  51.164,  14.212, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.314,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:27:151, 509913697854462,   26.248,    1.000, 1200,   1.482,  90.363,  25.101,   0.359,  51.525,  14.312, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.321,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:28:157, 509916519924908,   27.254,    2.000, 4100,   1.902,  92.278,  25.633,   0.464,  51.992,  14.442, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.329,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
16:10:29:165, 509919345124154,   28.262,    3.000, 1200,   2.777,  95.076,  26.410,   1.360,  53.362,  14.823, 37,  0,   0.000,   0.000,   0.000,   0.016,   0.345,   0.096,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
