System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:20:55:066, 1409832389781873,    1.005,   23.000, 1500,  13.629,  13.692,   3.803,  10.982,  11.034,   3.065, 70,  0,   0.000,   0.000,   0.000,   0.051,   0.051,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  85.569
09:20:56:106, 1409835304009459,    2.044,   24.000, 1300,  11.766,  25.924,   7.201,   9.530,  20.941,   5.817, 40,  0,   0.000,   0.000,   0.000,   0.048,   0.101,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  78.080
09:20:57:124, 1409838157853384,    3.062,    5.000, 1300,   3.672,  29.662,   8.240,   1.853,  22.827,   6.341, 40,  0,   0.000,   0.000,   0.000,   0.053,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.511
09:20:58:129, 1409840975520252,    4.067,    3.000, 1200,   1.729,  31.401,   8.722,   0.465,  23.294,   6.471, 40,  0,   0.000,   0.000,   0.000,   0.039,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.118
09:20:59:139, 1409843806944548,    5.078,    5.000, 1500,   3.794,  35.232,   9.787,   2.131,  25.446,   7.068, 40,  0,   0.000,   0.000,   0.000,   0.058,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  89.353
09:21:00:147, 1409846632965615,    6.086,    4.000, 1300,   2.382,  37.634,  10.454,   0.888,  26.341,   7.317, 40,  0,   0.000,   0.000,   0.000,   0.036,   0.289,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.424
09:21:01:160, 1409849470313793,    7.098,   12.000, 1800,   6.090,  43.797,  12.166,   4.320,  30.714,   8.532, 41,  0,   0.000,   0.000,   0.000,   0.052,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  89.613
09:21:02:164, 1409852285194746,    8.102,    3.000, 1900,   2.162,  45.968,  12.769,   0.616,  31.333,   8.703, 40,  0,   0.000,   0.000,   0.000,   0.046,   0.388,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.382
09:21:03:170, 1409855106306162,    9.108,    6.000, 1300,   3.608,  49.599,  13.777,   1.983,  33.328,   9.258, 40,  0,   0.000,   0.000,   0.000,   0.024,   0.413,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.641
09:21:04:176, 1409857925913034,   10.114,    2.000, 1200,   1.809,  51.418,  14.283,   0.417,  33.747,   9.374, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.430,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.694
09:21:05:182, 1409860745295417,   11.120,    4.000, 1200,   2.581,  54.014,  15.004,   1.287,  35.042,   9.734, 40,  0,   0.000,   0.000,   0.000,   0.024,   0.454,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.132
09:21:06:192, 1409863578433342,   12.131,    9.000, 1200,   4.784,  58.849,  16.347,   2.942,  38.016,  10.560, 40,  0,   0.000,   0.000,   0.000,   0.040,   0.495,   0.137,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  88.739
09:21:07:197, 1409866393941970,   13.135,    4.000, 4100,   3.071,  61.933,  17.204,   1.478,  39.500,  10.972, 41,  0,   0.000,   0.000,   0.000,   0.022,   0.517,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.021
09:21:08:203, 1409869215550580,   14.142,    3.000, 1200,   1.999,  63.945,  17.763,   0.616,  40.120,  11.145, 39,  0,   0.000,   0.000,   0.000,   0.019,   0.536,   0.149,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.168
09:21:09:207, 1409872029143055,   15.145,    2.000, 1200,   1.651,  65.602,  18.223,   0.457,  40.579,  11.272, 40,  0,   0.000,   0.000,   0.000,   0.031,   0.567,   0.157,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.226
09:21:10:212, 1409874847497727,   16.151,    4.000, 1200,   3.333,  68.954,  19.154,   1.772,  42.360,  11.767, 40,  0,   0.000,   0.000,   0.000,   0.028,   0.594,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.536
09:21:11:219, 1409877669848486,   17.158,    3.000, 1200,   2.122,  71.090,  19.747,   0.479,  42.842,  11.901, 39,  0,   0.000,   0.000,   0.000,   0.033,   0.628,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.500
09:21:12:227, 1409880496177975,   18.166,    4.000, 1200,   3.645,  74.765,  20.768,   2.024,  44.883,  12.468, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.643,   0.179,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.278
09:21:13:232, 1409883312873904,   19.171,    2.000, 1200,   1.624,  76.397,  21.221,   0.487,  45.373,  12.604, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.665,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.418
09:21:14:238, 1409886131572472,   20.176,    4.000, 1200,   2.906,  79.319,  22.033,   1.551,  46.932,  13.037, 39,  0,   0.000,   0.000,   0.000,   0.021,   0.687,   0.191,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.207
09:21:15:241, 1409888944165100,   21.180,    2.000, 1200,   1.639,  80.963,  22.490,   0.448,  47.382,  13.162, 40,  0,   0.000,   0.000,   0.000,   0.026,   0.713,   0.198,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.786
09:21:16:247, 1409891765362891,   22.186,    4.000, 1200,   3.363,  84.347,  23.430,   2.035,  49.429,  13.730, 38,  0,   0.000,   0.000,   0.000,   0.029,   0.742,   0.206,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  66.667
09:21:17:258, 1409894597156304,   23.196,    2.000, 1200,   1.844,  86.210,  23.947,   0.509,  49.943,  13.873, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.779,   0.216,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.600
09:21:18:263, 1409897415246219,   24.202,    4.000, 1200,   2.708,  88.932,  24.703,   1.283,  51.233,  14.231, 40,  0,   0.000,   0.000,   0.000,   0.027,   0.806,   0.224,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.370
09:21:19:268, 1409900233466009,   25.207,    2.000, 1300,   1.562,  90.503,  25.140,   0.359,  51.594,  14.332, 38,  0,   0.000,   0.000,   0.000,   0.032,   0.838,   0.233,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.546
09:21:20:275, 1409903055699268,   26.214,    4.000, 1200,   2.944,  93.467,  25.963,   1.674,  53.279,  14.800, 40,  0,   0.000,   0.000,   0.000,   0.021,   0.859,   0.239,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.473
09:21:21:281, 1409905877080395,   27.220,    2.000, 1200,   1.553,  95.030,  26.397,   0.367,  53.648,  14.902, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.874,   0.243,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.407
09:21:22:285, 1409908690502462,   28.224,    4.000, 1200,   3.417,  98.459,  27.350,   1.889,  55.544,  15.429, 39,  0,   0.000,   0.000,   0.000,   0.040,   0.914,   0.254,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.354
09:21:23:291, 1409911511505919,   29.230,    2.000, 1200,   1.775, 100.246,  27.846,   0.428,  55.974,  15.548, 39,  0,   0.000,   0.000,   0.000,   0.030,   0.944,   0.262,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.785
