System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
08:23:49:082, 1400228544173990,    1.019,   23.000, 4100,  17.322,  17.652,   4.903,  14.763,  15.044,   4.179, 74,  0,   0.000,   0.000,   0.000,   0.067,   0.068,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  85.738
08:23:50:090, 1400231368835581,    2.027,   17.000, 1200,  13.715,  31.472,   8.742,  11.554,  26.686,   7.413, 40,  0,   0.000,   0.000,   0.000,   0.047,   0.116,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  82.836
08:23:51:096, 1400234190352436,    3.033,    5.000, 1200,   3.510,  35.004,   9.723,   1.659,  28.356,   7.877, 39,  0,   0.000,   0.000,   0.000,   0.047,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  90.169
08:23:52:105, 1400237017698263,    4.042,    3.000, 4100,   2.129,  37.152,  10.320,   0.838,  29.201,   8.111, 48,  0,   0.000,   0.000,   0.000,   0.035,   0.198,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  86.132
08:23:53:110, 1400239835549325,    5.047,    4.000, 1300,   3.624,  40.795,  11.332,   2.038,  31.249,   8.680, 39,  0,   0.000,   0.000,   0.000,   0.018,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.952
08:23:54:116, 1400242654505073,    6.053,    2.000, 1200,   2.084,  42.891,  11.914,   0.747,  32.001,   8.889, 39,  0,   0.000,   0.000,   0.000,   0.041,   0.257,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.181
08:23:55:128, 1400245493072584,    7.065,   14.000, 1200,   7.835,  50.824,  14.118,   5.845,  37.919,  10.533, 40,  0,   0.000,   0.000,   0.000,   0.029,   0.287,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  86.373
08:23:56:136, 1400248318469955,    8.073,    3.000, 1200,   2.378,  53.221,  14.784,   0.944,  38.871,  10.797, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.126
08:23:57:142, 1400251137663470,    9.079,    4.000, 1200,   3.103,  56.342,  15.651,   1.768,  40.649,  11.291, 40,  0,   0.000,   0.000,   0.000,   0.040,   0.364,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.623
08:23:58:147, 1400253955482240,   10.084,    5.000, 4700,   3.499,  59.859,  16.628,   2.237,  42.897,  11.916, 41,  0,   0.000,   0.000,   0.000,   0.024,   0.388,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.517
