System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:54:24:516, 497123720896197,    1.010,   23.000, 1500,  14.298,  14.439,   4.011,  11.817,  11.933,   3.315, 71,  0,   0.000,   0.000,   0.000,   0.027,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:25:529, 497126558826791,    2.022,   18.000, 4100,  11.807,  26.392,   7.331,   9.622,  21.674,   6.021, 73,  0,   0.000,   0.000,   0.000,   0.026,   0.054,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:26:570, 497129479438772,    3.064,   17.000, 4100,  15.006,  42.026,  11.674,  12.706,  34.913,   9.698, 74,  0,   0.000,   0.000,   0.000,   0.030,   0.086,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:27:604, 497132375421738,    4.097,   14.000, 4100,  15.606,  58.149,  16.152,  13.482,  48.841,  13.567, 68,  0,   0.000,   0.000,   0.000,   0.006,   0.092,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:28:617, 497135217358668,    5.111,   20.000, 3800,  15.406,  73.768,  20.491,  12.975,  61.995,  17.221, 54,  0,   0.000,   0.000,   0.000,   0.026,   0.118,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:29:635, 497138069667950,    6.129,   16.000, 4100,  13.914,  87.926,  24.424,  11.635,  73.834,  20.509, 55,  0,   0.000,   0.000,   0.000,   0.027,   0.146,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:30:666, 497140959185068,    7.159,   19.000, 2600,  15.276, 103.673,  28.798,  12.972,  87.205,  24.224, 50,  0,   0.000,   0.000,   0.000,   0.012,   0.157,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:31:675, 497143787847722,    8.168,    6.000, 4100,   3.305, 107.007,  29.724,   1.753,  88.974,  24.715, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.167,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:32:686, 497146622203471,    9.180,    4.000, 1200,   2.632, 109.669,  30.464,   1.137,  90.123,  25.034, 42,  0,   0.000,   0.000,   0.000,   0.024,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:33:695, 497149450762288,   10.189,    6.000, 1200,   4.440, 114.148,  31.708,   2.807,  92.956,  25.821, 42,  0,   0.000,   0.000,   0.000,   0.027,   0.218,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:34:703, 497152276752077,   11.197,    8.000, 1200,   3.827, 118.006,  32.780,   2.375,  95.350,  26.486, 42,  0,   0.000,   0.000,   0.000,   0.020,   0.238,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:35:708, 497155092868956,   12.201,    4.000, 1200,   2.677, 120.695,  33.526,   1.344,  96.700,  26.861, 42,  0,   0.000,   0.000,   0.000,   0.024,   0.263,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:36:713, 497157910674491,   13.207,    1.000, 1200,   1.592, 122.296,  33.971,   0.346,  97.048,  26.958, 42,  0,   0.000,   0.000,   0.000,   0.008,   0.271,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:37:719, 497160730958269,   14.213,    3.000, 1200,   2.593, 124.904,  34.696,   1.170,  98.225,  27.285, 42,  0,   0.000,   0.000,   0.000,   0.009,   0.280,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:54:38:725, 497163552702348,   15.219,    1.000, 1200,   1.434, 126.347,  35.096,   0.318,  98.545,  27.374, 41,  0,   0.000,   0.000,   0.000,   0.018,   0.298,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
