System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:39:21:833, 1412934917788844,    1.011,   21.000, 4100,  14.784,  14.940,   4.150,  12.250,  12.380,   3.439, 61,  0,   0.000,   0.000,   0.000,   0.043,   0.043,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,    7,  84.778
09:39:22:868, 1412937819456448,    2.046,   29.000, 4100,  12.292,  27.664,   7.684,   9.904,  22.631,   6.287, 66,  0,   0.000,   0.000,   0.000,   0.044,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  85.418
09:39:23:931, 1412940800003914,    3.109,   14.000, 4100,  16.034,  44.713,  12.420,  13.698,  37.196,  10.332, 63,  0,   0.000,   0.000,   0.000,   0.024,   0.114,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  78.630
09:39:24:992, 1412943773840509,    4.170,   17.000, 4200,  13.941,  59.503,  16.529,  11.562,  49.462,  13.739, 64,  0,   0.000,   0.000,   0.000,   0.024,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.627
09:39:26:102, 1412946885258434,    5.280,   17.000, 4100,  13.465,  74.449,  20.680,  10.946,  61.611,  17.114, 66,  0,   0.000,   0.000,   0.000,   0.034,   0.178,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  84.555
09:39:27:164, 1412949862281247,    6.342,   21.000, 3000,  15.352,  90.752,  25.209,  12.915,  75.327,  20.924, 52,  0,   0.000,   0.000,   0.000,   0.035,   0.215,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  87.071
09:39:28:179, 1412952707683562,    7.357,   22.000, 4200,  14.652, 105.625,  29.340,  12.098,  87.608,  24.336, 59,  0,   0.000,   0.000,   0.000,   0.047,   0.263,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  86.014
09:39:29:208, 1412955591535268,    8.386,   19.000, 4200,  15.251, 121.315,  33.699,  12.748, 100.722,  27.978, 63,  0,   0.000,   0.000,   0.000,   0.015,   0.278,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.554
09:39:30:242, 1412958490074994,    9.420,   18.000, 4100,  14.563, 136.374,  37.882,  11.838, 112.963,  31.379, 60,  0,   0.000,   0.000,   0.000,   0.012,   0.290,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.767
09:39:31:267, 1412961363667766,   10.445,   21.000, 4100,  14.133, 150.862,  41.906,  11.375, 124.623,  34.618, 69,  0,   0.000,   0.000,   0.000,   0.026,   0.316,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  86.519
09:39:32:284, 1412964215283459,   11.462,   16.000, 4100,  13.991, 165.095,  45.860,  11.535, 136.358,  37.877, 61,  0,   0.000,   0.000,   0.000,   0.021,   0.337,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.257
09:39:33:311, 1412967094789073,   12.489,   20.000, 3500,  15.050, 180.554,  50.154,  12.614, 149.315,  41.476, 56,  0,   0.000,   0.000,   0.000,   0.017,   0.355,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.839
09:39:34:344, 1412969989164349,   13.522,   16.000, 4300,  14.687, 195.719,  54.366,  12.183, 161.895,  44.971, 69,  0,   0.000,   0.000,   0.000,   0.018,   0.374,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.819
