System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:47:24:099, 28304246887986,    0.110,   40.000, 2700,  12.489,   1.371,   0.381,  10.472,   1.149,   0.319, 45,  0,   0.000,   0.000,   0.000,   0.021,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:209, 28304554665011,    0.220,   18.000, 1900,  10.972,   2.575,   0.715,   8.863,   2.122,   0.590, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:316, 28304856714828,    0.327,    4.000, 1300,   1.853,   2.775,   0.771,   0.704,   2.198,   0.611, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:425, 28305161588237,    0.436,    5.000, 1300,   2.750,   3.074,   0.854,   1.227,   2.332,   0.648, 39,  0,   0.000,   0.000,   0.000,   0.181,   0.023,   0.006,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:534, 28305467160561,    0.545,    3.000, 1200,   1.731,   3.263,   0.906,   0.475,   2.383,   0.662, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.023,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:643, 28305770772676,    0.653,    3.000, 3200,   2.592,   3.544,   0.984,   1.333,   2.528,   0.702, 39,  0,   0.000,   0.000,   0.000,   0.190,   0.044,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:752, 28306077602770,    0.763,    2.000, 1200,   1.877,   3.749,   1.041,   0.558,   2.589,   0.719, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.046,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:860, 28306381706873,    0.871,    1.000, 1200,   1.355,   3.896,   1.082,   0.375,   2.630,   0.730, 39,  0,   0.000,   0.000,   0.000,   0.003,   0.046,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:24:970, 28306688450857,    0.981,    1.000, 1200,   1.374,   4.046,   1.124,   0.257,   2.658,   0.738, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.048,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:25:079, 28306995576040,    1.090,    5.000, 1300,   2.032,   4.269,   1.186,   0.733,   2.738,   0.761, 38,  0,   0.000,   0.000,   0.000,   0.041,   0.052,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:47:25:080, 28306999285879,    1.092,   14.000, 1200,   7.241,   4.279,   1.189,   1.199,   2.740,   0.761, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.052,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.091627
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 4.278625
Cumulative Processor Energy_0 (mWh) = 1.188507
Average Processor Power_0 (Watt) = 3.919494

Cumulative IA Energy_0 (Joules) = 2.739502
Cumulative IA Energy_0 (mWh) = 0.760973
Average IA Power_0 (Watt) = 2.509559

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.052124
Cumulative GT Energy_0 (mWh) = 0.014479
Average GT Power_0 (Watt) = 0.047749
