System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:00:09:889, 20359813167940,    1.007,   21.000, 4100,  14.905,  15.003,   4.168,  12.266,  12.347,   3.430, 66,  0,   0.000,   0.000,   0.000,   0.167,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,   19,  88.043
23:00:10:906, 20362666166431,    2.024,   22.000, 2200,   9.849,  25.027,   6.952,   7.612,  20.095,   5.582, 41,  0,   0.000,   0.000,   0.000,   0.112,   0.282,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,   14,  84.267
23:00:11:928, 20365529234308,    3.046,    2.000, 1200,   2.157,  27.231,   7.564,   0.516,  20.622,   5.728, 39,  0,   0.000,   0.000,   0.000,   0.025,   0.308,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  91.641
23:00:12:933, 20368346008214,    4.051,    3.000, 4100,   2.439,  29.681,   8.245,   1.034,  21.661,   6.017, 48,  0,   0.000,   0.000,   0.000,   0.020,   0.328,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.028
23:00:13:939, 20371165398086,    5.056,    8.000, 1300,   4.560,  34.267,   9.519,   2.398,  24.073,   6.687, 39,  0,   0.000,   0.000,   0.000,   0.027,   0.354,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.253
23:00:14:946, 20373989336206,    6.064,    3.000, 1200,   1.820,  36.101,  10.028,   0.580,  24.657,   6.849, 38,  0,   0.000,   0.000,   0.000,   0.016,   0.371,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  91.066
23:00:15:949, 20376801654183,    7.067,    5.000, 1300,   4.100,  40.214,  11.170,   2.652,  27.317,   7.588, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  70.159
23:00:16:961, 20379637868907,    8.079,    4.000, 3200,   2.437,  42.679,  11.855,   1.048,  28.377,   7.883, 44,  0,   0.000,   0.000,   0.000,   0.022,   0.403,   0.112,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  91.415
23:00:17:972, 20382470105413,    9.089,    8.000, 1700,   4.525,  47.251,  13.125,   3.091,  31.500,   8.750, 40,  0,   0.000,   0.000,   0.000,   0.040,   0.444,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  78.398
23:00:18:977, 20385289005660,   10.095,    3.000, 1200,   2.325,  49.589,  13.775,   1.064,  32.570,   9.047, 38,  0,   0.000,   0.000,   0.000,   0.016,   0.460,   0.128,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.334
23:00:20:019, 20388208998234,   11.136,    4.000, 1200,   2.754,  52.458,  14.572,   1.333,  33.958,   9.433, 38,  0,   0.000,   0.000,   0.000,   0.016,   0.477,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.092
23:00:21:024, 20391026469392,   12.142,    2.000, 1200,   1.575,  54.041,  15.011,   0.411,  34.371,   9.548, 38,  0,   0.000,   0.000,   0.000,   0.015,   0.492,   0.137,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.936
23:00:22:034, 20393856083604,   13.151,    4.000, 1300,   3.324,  57.396,  15.943,   1.887,  36.276,  10.077, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.505,   0.140,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.653
23:00:23:047, 20396694795873,   14.164,    9.000, 1100,   4.185,  61.634,  17.121,   2.370,  38.676,  10.743, 38,  0,   0.000,   0.000,   0.000,   0.028,   0.533,   0.148,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.520
23:00:24:058, 20399531249924,   15.175,    5.000, 1700,   3.717,  65.395,  18.165,   1.883,  40.581,  11.273, 38,  0,   0.000,   0.000,   0.000,   0.020,   0.553,   0.154,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.761
23:00:25:067, 20402357388232,   16.184,    3.000, 1200,   1.924,  67.335,  18.704,   0.444,  41.029,  11.397, 38,  0,   0.000,   0.000,   0.000,   0.020,   0.573,   0.159,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.508
23:00:26:075, 20405183109734,   17.192,    6.000, 1200,   3.494,  70.857,  19.683,   1.718,  42.761,  11.878, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.586,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.761
23:00:27:082, 20408005556656,   18.199,    2.000, 1200,   1.912,  72.783,  20.217,   0.389,  43.152,  11.987, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.593,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.994
23:00:28:089, 20410827980797,   19.205,    5.000, 1200,   3.626,  76.434,  21.232,   1.909,  45.075,  12.521, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.600,   0.167,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.456
23:00:29:096, 20413651985184,   20.213,    3.000, 1200,   2.347,  78.798,  21.888,   0.688,  45.767,  12.713, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.613,   0.170,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.977
23:00:30:106, 20416481358122,   21.222,    4.000, 1200,   2.563,  81.385,  22.607,   1.352,  47.132,  13.092, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.621,   0.173,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.325
23:00:31:115, 20419311090993,   22.232,    2.000, 1200,   1.564,  82.964,  23.046,   0.314,  47.450,  13.181, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.630,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.265
23:00:32:123, 20422136702934,   23.240,    4.000, 4100,   2.487,  85.471,  23.742,   0.955,  48.412,  13.448, 50,  0,   0.000,   0.000,   0.000,   0.010,   0.640,   0.178,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.846
23:00:33:135, 20424972266770,   24.251,    3.000, 1200,   2.271,  87.768,  24.380,   0.756,  49.177,  13.660, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.650,   0.181,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.631
23:00:34:144, 20427800062238,   25.260,    2.000, 1200,   1.392,  89.172,  24.770,   0.308,  49.487,  13.746, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.661,   0.184,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.741
23:00:35:149, 20430618987557,   26.266,    4.000, 1200,   3.082,  92.271,  25.631,   1.697,  51.194,  14.220, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.673,   0.187,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  37.961
23:00:36:158, 20433445769442,   27.274,    1.000, 1200,   1.526,  93.810,  26.058,   0.333,  51.530,  14.314, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.682,   0.190,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.140
23:00:37:165, 20436268654126,   28.281,    4.000, 1300,   3.245,  97.078,  26.966,   1.696,  53.238,  14.788, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.694,   0.193,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.675
23:00:38:172, 20439089868583,   29.287,    1.000, 1200,   1.369,  98.455,  27.349,   0.315,  53.554,  14.876, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.704,   0.196,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.234
23:00:39:181, 20441917726018,   30.296,    4.000, 1200,   3.061, 101.543,  28.206,   1.727,  55.296,  15.360, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.713,   0.198,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.285
23:00:40:185, 20444733482885,   31.301,    1.000, 1100,   1.343, 102.892,  28.581,   0.274,  55.571,  15.437, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.726,   0.202,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.631
23:00:41:196, 20447568164496,   32.312,    3.000, 1200,   2.620, 105.541,  29.317,   1.349,  56.935,  15.815, 37,  0,   0.000,   0.000,   0.000,   0.014,   0.740,   0.206,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  50.106
23:00:42:205, 20450396085059,   33.321,    2.000, 1200,   1.529, 107.083,  29.745,   0.296,  57.234,  15.898, 36,  0,   0.000,   0.000,   0.000,   0.018,   0.759,   0.211,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.208
23:00:43:215, 20453225793537,   34.330,    3.000, 1200,   2.642, 109.751,  30.486,   1.275,  58.521,  16.256, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.768,   0.213,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.555
23:00:44:219, 20456040164474,   35.334,    1.000, 1200,   1.368, 111.125,  30.868,   0.277,  58.799,  16.333, 36,  0,   0.000,   0.000,   0.000,   0.015,   0.784,   0.218,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.670
23:00:45:228, 20458867592487,   36.343,    3.000, 1300,   2.918, 114.068,  31.686,   1.729,  60.544,  16.818, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.794,   0.221,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.350
23:00:46:233, 20461686094276,   37.348,    2.000, 1200,   1.369, 115.445,  32.068,   0.310,  60.855,  16.904, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.803,   0.223,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.727
23:00:47:243, 20464516797159,   38.358,    3.000, 1200,   3.301, 118.778,  32.994,   1.963,  62.838,  17.455, 37,  0,   0.000,   0.000,   0.000,   0.016,   0.820,   0.228,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.066
23:00:48:252, 20467345149961,   39.367,    2.000, 1200,   1.642, 120.435,  33.454,   0.384,  63.225,  17.563, 36,  0,   0.000,   0.000,   0.000,   0.017,   0.836,   0.232,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.240
23:00:49:258, 20470164905445,   40.373,    3.000, 1300,   2.128, 122.576,  34.049,   0.982,  64.213,  17.837, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.846,   0.235,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.636
23:00:50:266, 20472991164487,   41.381,    2.000, 1100,   1.381, 123.969,  34.436,   0.298,  64.514,  17.920, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.856,   0.238,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.124
23:00:51:280, 20475832904415,   42.395,    4.000, 4700,   2.532, 126.535,  35.149,   1.189,  65.719,  18.255, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.869,   0.241,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.129
23:00:52:290, 20478664403506,   43.405,    2.000, 1200,   1.959, 128.514,  35.698,   0.565,  66.290,  18.414, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.875,   0.243,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.436
23:00:53:298, 20481487550208,   44.412,    2.000, 4100,   1.571, 130.096,  36.138,   0.443,  66.736,  18.538, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.884,   0.246,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  92.459
23:00:54:306, 20484313871376,   45.420,    3.000, 1200,   2.561, 132.678,  36.855,   1.315,  68.062,  18.906, 36,  0,   0.000,   0.000,   0.000,   0.013,   0.898,   0.249,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.685
23:00:55:312, 20487134112879,   46.426,    1.000, 1200,   1.438, 134.125,  37.257,   0.341,  68.405,  19.001, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.908,   0.252,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.373
23:00:56:323, 20489967059303,   47.437,    4.000, 1200,   2.745, 136.898,  38.027,   1.423,  69.843,  19.401, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.920,   0.256,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.818
23:00:57:332, 20492796603398,   48.446,    1.000, 1200,   1.564, 138.477,  38.466,   0.317,  70.163,  19.490, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.929,   0.258,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.041
23:00:58:341, 20495624135534,   49.455,    3.000, 1200,   2.383, 140.881,  39.134,   1.170,  71.342,  19.817, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.938,   0.261,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.185
