System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:24:04:192, 471837948609476,    1.003,   20.000, 1500,  13.243,  13.279,   3.689,  10.616,  10.645,   2.957, 71,  0,   0.000,   0.000,   0.000,   0.031,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:05:248, 471840907802635,    2.058,   21.000, 4100,  12.948,  26.948,   7.485,  10.422,  21.647,   6.013, 71,  0,   0.000,   0.000,   0.000,   0.046,   0.079,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:06:304, 471843867809443,    3.114,    9.000, 1200,  10.828,  38.381,  10.662,   9.008,  31.159,   8.655, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:07:309, 471846685143968,    4.119,    6.000, 1200,   3.955,  42.356,  11.766,   2.595,  33.767,   9.380, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:08:316, 471849507844688,    5.126,    4.000, 1200,   2.489,  44.862,  12.462,   0.961,  34.734,   9.648, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:09:320, 471852321888886,    6.130,    4.000, 1200,   3.227,  48.102,  13.362,   1.731,  36.472,  10.131, 38,  0,   0.000,   0.000,   0.000,   0.035,   0.138,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:10:329, 471855150997616,    7.139,    9.000, 1200,   3.947,  52.086,  14.468,   2.353,  38.847,  10.791, 37,  0,   0.000,   0.000,   0.000,   0.040,   0.178,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:11:333, 471857965178789,    8.143,    4.000, 1200,   3.277,  55.375,  15.382,   1.859,  40.714,  11.309, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:12:339, 471860785807828,    9.150,    2.000, 1200,   1.486,  56.870,  15.797,   0.353,  41.069,  11.408, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.197,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:13:344, 471863601660814,   10.154,    3.000, 1200,   3.177,  60.061,  16.684,   1.824,  42.901,  11.917, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:14:348, 471866415471814,   11.158,    5.000, 4700,   2.783,  62.855,  17.460,   1.548,  44.455,  12.349, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.210,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:15:353, 471869234899237,   12.164,    5.000, 1300,   3.281,  66.155,  18.376,   1.501,  45.965,  12.768, 37,  0,   0.000,   0.000,   0.000,   0.015,   0.225,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:16:358, 471872052356991,   13.169,    2.000, 1100,   1.814,  67.978,  18.883,   0.388,  46.355,  12.877, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.232,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:17:365, 471874875233689,   14.176,    6.000, 3700,   3.027,  71.026,  19.730,   1.668,  48.036,  13.343, 43,  0,   0.000,   0.000,   0.000,   0.005,   0.237,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:18:389, 471877744540321,   15.199,    3.000, 1200,   2.415,  73.498,  20.416,   1.181,  49.245,  13.679, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:19:391, 471880552896579,   16.201,    1.000, 1100,   1.330,  74.831,  20.786,   0.290,  49.535,  13.760, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:20:400, 471883382100313,   17.210,    3.000, 1200,   2.955,  77.813,  21.615,   1.554,  51.104,  14.195, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.264,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:21:407, 471886203858000,   18.217,    2.000, 1200,   1.418,  79.241,  22.011,   0.349,  51.455,  14.293, 36,  0,   0.000,   0.000,   0.000,   0.004,   0.268,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:22:411, 471889019382918,   19.222,    4.000, 1200,   2.930,  82.184,  22.829,   1.684,  53.146,  14.763, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.277,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:23:415, 471891834342139,   20.226,    2.000, 1100,   1.565,  83.755,  23.265,   0.392,  53.540,  14.872, 36,  0,   0.000,   0.000,   0.000,   0.011,   0.288,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:24:423, 471894659729155,   21.234,    4.000, 1100,   3.117,  86.897,  24.138,   1.832,  55.386,  15.385, 36,  0,   0.000,   0.000,   0.000,   0.014,   0.302,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:25:431, 471897484746859,   22.241,    2.000, 1200,   1.624,  88.533,  24.593,   0.332,  55.721,  15.478, 37,  0,   0.000,   0.000,   0.000,   0.004,   0.306,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:26:438, 471900306657490,   23.248,    5.000, 1200,   2.811,  91.363,  25.379,   1.473,  57.203,  15.890, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.317,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:27:444, 471903127977616,   24.255,    2.000, 1100,   1.592,  92.965,  25.824,   0.392,  57.598,  15.999, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.327,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:28:448, 471905943345637,   25.259,    3.000, 1100,   3.279,  96.258,  26.738,   2.089,  59.696,  16.582, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.339,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:29:455, 471908763982338,   26.265,    2.000, 1200,   1.369,  97.635,  27.121,   0.323,  60.020,  16.672, 35,  0,   0.000,   0.000,   0.000,   0.008,   0.346,   0.096,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:30:461, 471911584795378,   27.271,    4.000, 1200,   3.300, 100.956,  28.043,   1.850,  61.882,  17.190, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.359,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:31:463, 471914395310670,   28.274,    2.000, 1200,   1.677, 102.638,  28.511,   0.391,  62.274,  17.298, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.369,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:24:32:469, 471917215315755,   29.280,    3.000, 1100,   2.673, 105.327,  29.258,   1.466,  63.749,  17.708, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.376,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
