System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:10:15:746, 22058022481465,    1.012,   21.000, 4300,  13.550,  13.708,   3.808,  11.030,  11.159,   3.100, 60,  0,   0.000,   0.000,   0.000,   0.206,   0.208,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,   19,  85.832
23:10:16:767, 22060885471996,    2.033,   19.000, 1200,   9.569,  23.482,   6.523,   7.274,  18.588,   5.163, 41,  0,   0.000,   0.000,   0.000,   0.142,   0.353,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,   13,  84.183
23:10:17:787, 22063744868944,    3.053,    2.000, 1200,   1.716,  25.232,   7.009,   0.401,  18.997,   5.277, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.362,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  91.417
23:10:18:795, 22066569754379,    4.061,    4.000, 1200,   2.819,  28.073,   7.798,   1.555,  20.564,   5.712, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.379,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  64.721
23:10:19:800, 22069387615741,    5.066,    3.000, 1300,   2.396,  30.481,   8.467,   1.151,  21.721,   6.034, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.391,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.415
23:10:20:811, 22072219722762,    6.076,    3.000, 1300,   2.551,  33.058,   9.183,   1.304,  23.039,   6.400, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.405,   0.113,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.759
23:10:21:820, 22075047137732,    7.085,    2.000, 1200,   1.771,  34.845,   9.679,   0.466,  23.509,   6.530, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.416,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.315
23:10:22:828, 22077873698993,    8.093,    5.000, 1200,   3.933,  38.811,  10.781,   2.490,  26.020,   7.228, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.433,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  78.230
23:10:23:840, 22080711322151,    9.106,    8.000, 1200,   3.958,  42.817,  11.894,   2.371,  28.420,   7.894, 39,  0,   0.000,   0.000,   0.000,   0.060,   0.494,   0.137,  64.000,  64.000, 121.000,   0.000,   0.000,   10,  82.327
23:10:24:849, 22083538541897,   10.114,    5.000, 1200,   4.165,  47.018,  13.060,   2.503,  30.944,   8.596, 39,  0,   0.000,   0.000,   0.000,   0.021,   0.515,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  91.015
23:10:25:856, 22086361615904,   11.121,    3.000, 1200,   2.290,  49.324,  13.701,   0.900,  31.851,   8.847, 38,  0,   0.000,   0.000,   0.000,   0.021,   0.536,   0.149,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.725
23:10:26:864, 22089187023807,   12.129,    4.000, 4100,   2.754,  52.099,  14.472,   1.498,  33.361,   9.267, 42,  0,   0.000,   0.000,   0.000,   0.011,   0.547,   0.152,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.402
23:10:27:870, 22092006442084,   13.135,    3.000, 1200,   1.970,  54.080,  15.022,   0.540,  33.904,   9.418, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.557,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.852
23:10:28:885, 22094850356084,   14.149,   13.000, 4100,   5.100,  59.255,  16.460,   3.080,  37.029,  10.286, 45,  0,   0.000,   0.000,   0.000,   0.029,   0.586,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.665
23:10:29:891, 22097672469764,   15.156,    3.000, 1200,   2.512,  61.783,  17.162,   1.285,  38.322,  10.645, 40,  0,   0.000,   0.000,   0.000,   0.017,   0.603,   0.168,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  76.780
23:10:30:902, 22100504449180,   16.166,    2.000, 1200,   1.567,  63.367,  17.602,   0.338,  38.663,  10.740, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.618,   0.172,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.495
23:10:31:910, 22103331724059,   17.175,    4.000, 1200,   2.823,  66.214,  18.393,   1.626,  40.304,  11.195, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.628,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  67.543
23:10:32:914, 22106144783011,   18.179,    1.000, 1100,   1.515,  67.734,  18.815,   0.326,  40.631,  11.286, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.636,   0.177,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  69.957
23:10:33:922, 22108971115415,   19.187,    3.000, 1200,   2.646,  70.401,  19.556,   1.418,  42.060,  11.683, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.650,   0.181,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.020
23:10:34:931, 22111798072361,   20.195,    2.000, 1200,   1.583,  71.998,  19.999,   0.383,  42.446,  11.791, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.660,   0.183,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.618
23:10:35:936, 22114615442739,   21.200,    3.000, 1200,   2.529,  74.540,  20.706,   1.320,  43.773,  12.159, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.669,   0.186,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.039
23:10:36:939, 22117428005764,   22.204,    2.000, 1200,   1.411,  75.956,  21.099,   0.321,  44.095,  12.249, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.677,   0.188,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.633
