System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:17:41:576, 480856919761475,    1.016,   23.000, 3100,  13.588,  13.802,   3.834,  11.045,  11.220,   3.117, 52,  0,   0.000,   0.000,   0.000,   0.015,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:42:625, 480859857703410,    2.064,   21.000, 3900,  12.694,  27.106,   7.529,  10.372,  22.090,   6.136, 46,  0,   0.000,   0.000,   0.000,   0.049,   0.067,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:43:640, 480862704900314,    3.080,    6.000, 1200,   3.812,  30.978,   8.605,   1.987,  24.108,   6.697, 39,  0,   0.000,   0.000,   0.000,   0.024,   0.091,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:44:655, 480865549252661,    4.094,    8.000, 1300,   4.956,  36.006,  10.002,   2.817,  26.966,   7.491, 39,  0,   0.000,   0.000,   0.000,   0.047,   0.138,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:45:667, 480868387615394,    5.107,    6.000, 1300,   3.568,  39.619,  11.005,   1.620,  28.607,   7.946, 38,  0,   0.000,   0.000,   0.000,   0.027,   0.166,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:46:679, 480871224479732,    6.119,    6.000, 1200,   3.981,  43.648,  12.124,   2.044,  30.675,   8.521, 37,  0,   0.000,   0.000,   0.000,   0.034,   0.200,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:47:692, 480874064790315,    7.132,   11.000, 1300,   4.530,  48.238,  13.399,   2.471,  33.178,   9.216, 39,  0,   0.000,   0.000,   0.000,   0.039,   0.240,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:48:709, 480876914227893,    8.148,    7.000, 1200,   4.057,  52.362,  14.545,   2.147,  35.360,   9.822, 38,  0,   0.000,   0.000,   0.000,   0.026,   0.266,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:49:721, 480879751969755,    9.161,    5.000, 1200,   2.598,  54.992,  15.275,   0.747,  36.116,  10.032, 39,  0,   0.000,   0.000,   0.000,   0.018,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:50:734, 480882591722856,   10.174,    6.000, 1200,   3.766,  58.806,  16.335,   1.957,  38.099,  10.583, 37,  0,   0.000,   0.000,   0.000,   0.025,   0.310,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:51:747, 480885430693895,   11.187,    4.000, 1200,   2.387,  61.224,  17.007,   0.663,  38.771,  10.770, 37,  0,   0.000,   0.000,   0.000,   0.017,   0.327,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:52:764, 480888280250532,   12.203,    6.000, 1300,   4.187,  65.480,  18.189,   2.259,  41.068,  11.408, 38,  0,   0.000,   0.000,   0.000,   0.026,   0.353,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:53:779, 480891126481574,   13.219,    4.000, 1300,   2.376,  67.893,  18.859,   0.656,  41.733,  11.593, 38,  0,   0.000,   0.000,   0.000,   0.020,   0.374,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:54:792, 480893965647240,   14.231,    6.000, 1300,   3.961,  71.905,  19.974,   2.039,  43.798,  12.166, 38,  0,   0.000,   0.000,   0.000,   0.025,   0.400,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:55:805, 480896805229621,   15.244,    4.000, 1200,   2.353,  74.288,  20.636,   0.645,  44.451,  12.348, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.414,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:56:818, 480899644886739,   16.257,    6.000, 1200,   3.858,  78.196,  21.721,   2.032,  46.510,  12.919, 37,  0,   0.000,   0.000,   0.000,   0.018,   0.433,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:57:832, 480902488439675,   17.272,    4.000, 1300,   2.424,  80.656,  22.404,   0.683,  47.203,  13.112, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.451,   0.125,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:58:847, 480905333035360,   18.286,    6.000, 1200,   3.928,  84.641,  23.511,   2.055,  49.288,  13.691, 39,  0,   0.000,   0.000,   0.000,   0.019,   0.470,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:17:59:861, 480908175618323,   19.301,    4.000, 1200,   2.555,  87.232,  24.231,   0.689,  49.987,  13.885, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.485,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:00:871, 480911007141700,   20.311,    7.000, 1200,   3.540,  90.808,  25.225,   1.716,  51.720,  14.367, 38,  0,   0.000,   0.000,   0.000,   0.020,   0.505,   0.140,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:01:886, 480913852439292,   21.326,    4.000, 1200,   2.547,  93.394,  25.943,   0.687,  52.417,  14.560, 38,  0,   0.000,   0.000,   0.000,   0.020,   0.526,   0.146,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:02:901, 480916697219454,   22.340,    6.000, 4100,   3.887,  97.339,  27.039,   2.094,  54.543,  15.151, 39,  0,   0.000,   0.000,   0.000,   0.020,   0.546,   0.152,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:03:916, 480919542606497,   23.356,    4.000, 1300,   2.458,  99.833,  27.732,   0.724,  55.277,  15.355, 38,  0,   0.000,   0.000,   0.000,   0.023,   0.569,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:04:932, 480922388746123,   24.371,    5.000, 4100,   2.738, 102.614,  28.504,   0.876,  56.166,  15.602, 43,  0,   0.000,   0.000,   0.000,   0.024,   0.594,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:05:947, 480925234986475,   25.386,    5.000, 1300,   3.477, 106.145,  29.485,   1.665,  57.857,  16.071, 38,  0,   0.000,   0.000,   0.000,   0.021,   0.615,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:18:06:959, 480928073663279,   26.399,    4.000, 1200,   2.393, 108.568,  30.158,   0.619,  58.483,  16.245, 38,  0,   0.000,   0.000,   0.000,   0.022,   0.637,   0.177,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
