System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:27:05:308, 24887864810715,    1.011,   24.000, 4100,  12.544,  12.684,   3.523,   9.768,   9.877,   2.744, 63,  0,   0.000,   0.000,   0.000,   0.131,   0.132,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,   19,  87.452
23:27:06:316, 24890690396038,    2.019,   17.000, 1200,  10.088,  22.852,   6.348,   8.141,  18.083,   5.023, 39,  0,   0.000,   0.000,   0.000,   0.111,   0.244,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,   14,  80.710
23:27:07:321, 24893509519251,    3.025,    4.000, 1300,   2.881,  25.750,   7.153,   1.465,  19.556,   5.432, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.256,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  92.462
23:27:08:330, 24896337896073,    4.034,    2.000, 1200,   1.803,  27.569,   7.658,   0.404,  19.964,   5.546, 39,  0,   0.000,   0.000,   0.000,   0.020,   0.277,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.210
23:27:09:339, 24899166279271,    5.043,    8.000, 1200,   4.634,  32.245,   8.957,   3.110,  23.102,   6.417, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.285,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.544
23:27:10:345, 24901985491306,    6.049,    2.000, 1200,   1.885,  34.140,   9.483,   0.554,  23.659,   6.572, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.295,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.362
23:27:11:352, 24904808884203,    7.056,    5.000, 4100,   2.986,  37.147,  10.319,   1.575,  25.246,   7.013, 49,  0,   0.000,   0.000,   0.000,   0.020,   0.315,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.213
23:27:12:358, 24907627479106,    8.061,    6.000, 1300,   2.923,  40.087,  11.135,   1.526,  26.781,   7.439, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.328,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.416
23:27:13:370, 24910464869519,    9.073,    8.000, 1200,   4.088,  44.224,  12.284,   2.516,  29.327,   8.146, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.358,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.958
23:27:14:376, 24913284664541,   10.079,    6.000, 1200,   3.273,  47.516,  13.199,   1.857,  31.194,   8.665, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  53.137
