System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:22:23:313, 471555163919765,    1.010,   23.000, 4100,  12.829,  12.958,   3.600,  10.329,  10.433,   2.898, 69,  0,   0.000,   0.000,   0.000,   0.044,   0.044,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:24:336, 471558031220395,    2.033,   18.000, 4500,  12.431,  25.673,   7.131,  10.026,  20.689,   5.747, 61,  0,   0.000,   0.000,   0.000,   0.071,   0.117,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:25:429, 471561095184274,    3.126,   17.000, 1500,  15.362,  42.464,  11.796,  13.201,  35.118,   9.755, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.126,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:26:437, 471563921774354,    4.134,    5.000, 4100,   2.013,  44.493,  12.359,   0.708,  35.832,   9.953, 44,  0,   0.000,   0.000,   0.000,   0.026,   0.152,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:27:461, 471566791710366,    5.158,    5.000, 1300,   3.624,  48.203,  13.390,   2.068,  37.950,  10.542, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.164,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:28:469, 471569619310727,    6.167,   22.000, 1700,   8.775,  57.055,  15.849,   5.691,  43.690,  12.136, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.173,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:29:478, 471572444597102,    7.175,   15.000, 1200,   6.998,  64.109,  17.808,   4.667,  48.394,  13.443, 40,  0,   0.000,   0.000,   0.000,   0.043,   0.217,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:30:482, 471575259480742,    8.179,    3.000, 1200,   1.825,  65.941,  18.317,   0.504,  48.900,  13.583, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:31:487, 471578077333634,    9.184,    4.000, 1100,   2.838,  68.794,  19.109,   1.423,  50.331,  13.981, 40,  0,   0.000,   0.000,   0.000,   0.019,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:32:490, 471580889567644,   10.187,    2.000, 1200,   1.894,  70.694,  19.637,   0.442,  50.774,  14.104, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.257,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:33:496, 471583708801830,   11.193,    4.000, 1200,   2.728,  73.437,  20.399,   1.497,  52.280,  14.522, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.263,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:34:502, 471586528672179,   12.199,    8.000, 1200,   3.505,  76.964,  21.379,   1.740,  54.030,  15.008, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.301,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:35:508, 471589349924599,   13.205,    4.000, 1200,   3.233,  80.217,  22.283,   1.825,  55.867,  15.519, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.309,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:22:36:515, 471592173009274,   14.213,    2.000, 1200,   1.492,  81.720,  22.700,   0.346,  56.215,  15.615, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.323,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
