System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:50:27:407, 466184496603506,    1.006,   23.000, 4100,  15.524,  15.621,   4.339,  13.214,  13.297,   3.694, 68,  0,   0.000,   0.000,   0.000,   0.026,   0.026,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:28:417, 466187328506831,    2.016,   19.000, 4100,  11.982,  27.726,   7.702,   9.634,  23.030,   6.397, 55,  0,   0.000,   0.000,   0.000,   0.045,   0.072,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:29:481, 466190309262304,    3.080,   10.000, 1100,   8.175,  36.419,  10.116,   6.226,  29.651,   8.236, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.095,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:30:488, 466193132875685,    4.087,   10.000, 1100,   3.849,  40.296,  11.193,   2.223,  31.889,   8.858, 38,  0,   0.000,   0.000,   0.000,   0.046,   0.141,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:31:499, 466195965643021,    5.098,    6.000, 1200,   4.548,  44.891,  12.470,   2.990,  34.911,   9.698, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:32:505, 466198787631783,    6.104,    3.000, 1100,   2.057,  46.962,  13.045,   0.703,  35.619,   9.894, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:33:513, 466201611678298,    7.112,   11.000, 1200,   5.416,  52.419,  14.561,   3.662,  39.309,  10.919, 39,  0,   0.000,   0.000,   0.000,   0.035,   0.193,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:34:531, 466204466040588,    8.130,    2.000, 1200,   1.701,  54.151,  15.042,   0.421,  39.738,  11.038, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.203,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:35:539, 466207292894135,    9.138,    4.000, 1200,   2.898,  57.073,  15.854,   1.677,  41.429,  11.508, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.218,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:50:36:553, 466210134017257,   10.152,    2.000, 1200,   1.695,  58.791,  16.331,   0.422,  41.856,  11.627, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.230,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
