Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9199475065616798,0.9313835770528683,0.9495412844036697,0.9139072847682119,9.077467696468706e-09,9.997861111111111e-05,0.09365296363830566,0.0013134923819794742,0.3768033981323242,0.0012960433959960938,101344068.33742361,102603898.81808038,9.82294068252428,2.4414522563265644
NaiveBayes,0,0.8910761154855643,0.9072625698324023,0.9311926605504587,0.8845315904139434,1.228087361569401e-09,0.0001606125,0.009533882141113281,0.0013128666114306513,0.41781044006347656,0.0013647079467773438,725580397.1037025,738760611.1938084,93.46414212977804,2.1327282184480265
RandomForest,0,0.9133858267716536,0.9258426966292135,0.944954128440367,0.9074889867841409,1.5202557117153817e-07,0.00012128888888888888,0.9530878067016602,0.013576404941989367,0.48151683807373047,2.74727725982666,6008106.529269566,6090045.835674172,0.9583438381533778,1.896892807374256
GradientBoosting,0,0.9173228346456693,0.9284903518728718,0.9380733944954128,0.9191011235955057,7.185317418854792e-08,6.905694444444446e-05,0.8151204586029053,0.0013125537261562397,0.45526790618896484,0.17879486083984375,12766629.240881523,12922050.589392837,1.125383156518898,2.014907754698884
SVM,0,0.868766404199475,0.8908296943231441,0.9357798165137615,0.85,3.585061752926511e-08,6.961805555555554e-05,0.41798853874206543,0.05642729481374185,0.42819786071777344,0.07274913787841797,24232955.080628525,24848377.955999043,2.078445516267081,2.028890108752976
KNN,0,0.8648293963254593,0.8861878453038674,0.9197247706422018,0.8550106609808102,1.1835191533798838e-09,7.568972222222223e-05,0.00899052619934082,0.020994914798286017,0.5869855880737305,0.39127159118652344,730726996.5641764,748773556.197295,96.19341261570074,1.4733400851688871
DecisionTree,0,0.8976377952755905,0.910958904109589,0.9151376146788991,0.9068181818181819,2.458957474499937e-09,6.5075e-05,0.025987625122070312,0.0013128666114306513,0.3510904312133789,0.036187171936035156,365048116.766695,370465497.4949679,34.54097059885863,2.556713927444071
LogisticRegression,10,0.9094488188976378,0.922384701912261,0.9403669724770642,0.9050772626931567,3.489367278818758e-08,6.860555555555556e-05,0.35796403884887695,0.0013197500874677043,0.35346031188964844,0.0012960433959960938,26063430.594371542,26434153.478521537,2.540615034466027,2.572987088806652
NaiveBayes,10,0.8910761154855643,0.9070548712206047,0.9288990825688074,0.8862144420131292,1.3703671100720948e-09,7.409249999999999e-05,0.007940530776977539,0.0013610509436900221,0.3504505157470703,0.0013647079467773438,650246279.9466085,661906480.7917672,112.21870936752933,2.542658878917668
RandomForest,10,0.9186351706036745,0.9301801801801802,0.9472477064220184,0.9137168141592921,1.176001001340762e-07,7.35913888888889e-05,0.942164421081543,0.01049855249760345,0.48247718811035156,3.06191349029541,7811516.9082027655,7909688.6747518005,0.9750263861048176,1.9039971075141597
