System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:53:22:354, 708874365865330,    0.105,    1.000, 1300,   1.760,   0.186,   0.052,   0.586,   0.062,   0.017, 41,  0,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:22:462, 708874667318374,    0.213,    1.000, 1200,   1.167,   0.311,   0.086,   0.193,   0.083,   0.023, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:22:570, 708874971919520,    0.322,    1.000, 1200,   1.350,   0.458,   0.127,   0.279,   0.113,   0.031, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:22:679, 708875274942061,    0.430,    1.000, 1200,   1.504,   0.620,   0.172,   0.405,   0.157,   0.044, 40,  0,   0.000,   0.000,   0.000,   0.002,   0.002,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:22:787, 708875578928645,    0.538,    1.000, 1200,   1.302,   0.762,   0.212,   0.296,   0.189,   0.052, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:22:896, 708875882802941,    0.647,    4.000, 1200,   1.443,   0.918,   0.255,   0.444,   0.237,   0.066, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:23:004, 708876187510600,    0.755,   21.000, 4100,  14.648,   2.510,   0.697,  12.209,   1.564,   0.434, 43,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:23:112, 708876491103662,    0.864,    3.000, 1200,   3.160,   2.853,   0.792,   1.763,   1.755,   0.487, 41,  0,   0.000,   0.000,   0.000,   0.124,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:23:221, 708876794919014,    0.972,    3.000, 1300,   1.635,   3.030,   0.842,   0.409,   1.799,   0.500, 41,  0,   0.000,   0.000,   0.000,   0.000,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:23:329, 708877097021397,    1.080,    1.000, 1200,   1.545,   3.196,   0.888,   0.349,   1.837,   0.510, 40,  0,   0.000,   0.000,   0.000,   0.002,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:53:23:330, 708877099457764,    1.081,   14.000, 1200,   0.000,   3.196,   0.888,   0.000,   1.837,   0.510, 41,  0,   0.000,   0.000,   0.000,   0.000,   0.015,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.080637
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 3.196289
Cumulative Processor Energy_0 (mWh) = 0.887858
Average Processor Power_0 (Watt) = 2.957781

Cumulative IA Energy_0 (Joules) = 1.836792
Cumulative IA Energy_0 (mWh) = 0.510220
Average IA Power_0 (Watt) = 1.699730

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.015259
Cumulative GT Energy_0 (mWh) = 0.004239
Average GT Power_0 (Watt) = 0.014120
