System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:29:47:020, 704906876281811,    1.006,   20.000, 4100,  18.266,  18.369,   5.102,  15.943,  16.033,   4.454, 70,  0,   0.000,   0.000,   0.000,   0.037,   0.037,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:48:044, 704909746053017,    2.029,   14.000, 4100,  14.618,  33.334,   9.259,  12.436,  28.764,   7.990, 54,  0,   0.000,   0.000,   0.000,   0.006,   0.043,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:49:060, 704912594251719,    3.045,    2.000, 1200,   1.531,  34.889,   9.691,   0.411,  29.182,   8.106, 40,  0,   0.000,   0.000,   0.000,   0.017,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:50:065, 704915410101587,    4.050,    6.000, 4100,   3.659,  38.565,  10.712,   2.276,  31.468,   8.741, 45,  0,   0.000,   0.000,   0.000,   0.016,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:51:080, 704918255531409,    5.065,    3.000, 1200,   2.633,  41.238,  11.455,   1.412,  32.901,   9.139, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.081,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:52:081, 704921062621259,    6.066,    1.000, 1300,   1.829,  43.069,  11.964,   0.464,  33.365,   9.268, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:53:087, 704923883987608,    7.073,    3.000, 1200,   2.840,  45.928,  12.758,   1.514,  34.890,   9.692, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:54:089, 704926692848300,    8.075,    1.000, 1200,   1.264,  47.194,  13.109,   0.267,  35.157,   9.766, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:55:092, 704929503994427,    9.078,    4.000, 1200,   2.804,  50.006,  13.890,   1.439,  36.601,  10.167, 40,  0,   0.000,   0.000,   0.000,   0.014,   0.120,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:29:56:097, 704932319253812,   10.082,    1.000, 1200,   1.270,  51.281,  14.245,   0.274,  36.876,  10.243, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.131,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
