System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:37:38:920, 696138130086216,    1.008,   19.000, 1700,  18.379,  18.530,   5.147,  15.947,  16.079,   4.466, 82,  0,   0.000,   0.000,   0.000,   0.033,   0.034,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:39:977, 696141091733012,    2.065,   12.000, 4100,  16.515,  35.979,   9.994,  14.435,  31.329,   8.703, 70,  0,   0.000,   0.000,   0.000,   0.007,   0.041,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:41:010, 696143987525270,    3.098,   14.000, 4100,  14.927,  51.399,  14.278,  12.775,  44.526,  12.368, 67,  0,   0.000,   0.000,   0.000,   0.004,   0.045,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:42:038, 696146870688989,    4.126,   26.000, 1700,  18.234,  70.153,  19.487,  15.294,  60.256,  16.738, 88,  0,   0.000,   0.000,   0.000,   0.032,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:43:069, 696149760153938,    5.157,   15.000, 2600,  11.524,  82.031,  22.787,   8.876,  69.406,  19.279, 44,  0,   0.000,   0.000,   0.000,   0.016,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:44:077, 696152585142117,    6.165,    5.000, 1300,   2.995,  85.050,  23.625,   1.391,  70.808,  19.669, 42,  0,   0.000,   0.000,   0.000,   0.025,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:45:085, 696155410709553,    7.173,    6.000, 1200,   3.801,  88.882,  24.689,   2.284,  73.110,  20.308, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:46:101, 696158259387501,    8.189,    2.000, 1200,   2.190,  91.107,  25.308,   0.682,  73.803,  20.501, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.133,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:47:103, 696161068206141,    9.191,    4.000, 1200,   3.247,  94.361,  26.211,   1.858,  75.665,  21.018, 42,  0,   0.000,   0.000,   0.000,   0.010,   0.143,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:48:108, 696163885366390,   10.196,    1.000, 1200,   1.624,  95.994,  26.665,   0.326,  75.993,  21.109, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:49:114, 696166704009452,   11.202,    4.000, 1200,   2.700,  98.708,  27.419,   1.413,  77.414,  21.504, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:50:116, 696169515157808,   12.204,    1.000, 1200,   1.590, 100.302,  27.862,   0.372,  77.787,  21.608, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:51:119, 696172324592123,   13.207,    4.000, 1200,   2.977, 103.286,  28.691,   1.686,  79.477,  22.077, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.181,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:52:121, 696175134271829,   14.209,    2.000, 1200,   1.551, 104.841,  29.122,   0.463,  79.941,  22.206, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:53:123, 696177944150748,   15.211,    4.000, 1200,   3.157, 108.005,  30.002,   1.607,  81.552,  22.653, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:54:139, 696180792117293,   16.227,    1.000, 1200,   1.354, 109.381,  30.384,   0.313,  81.870,  22.742, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.198,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:55:145, 696183612443324,   17.233,    4.000, 1200,   2.783, 112.181,  31.161,   1.535,  83.415,  23.171, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:56:150, 696186427517727,   18.238,    1.000, 1200,   1.317, 113.504,  31.529,   0.291,  83.707,  23.252, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.212,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:57:153, 696189239930469,   19.241,    4.000, 1300,   2.925, 116.439,  32.344,   1.596,  85.308,  23.697, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.217,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:58:156, 696192052590890,   20.244,    2.000, 1200,   1.586, 118.030,  32.786,   0.319,  85.629,  23.786, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:37:59:158, 696194859289223,   21.246,    2.000, 2100,   1.570, 119.603,  33.223,   0.473,  86.102,  23.917, 44,  0,   0.000,   0.000,   0.000,   0.011,   0.238,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:38:00:161, 696197673398464,   22.249,    3.000, 1100,   3.120, 122.735,  34.093,   1.895,  88.004,  24.445, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
