System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:41:00:803, 696704052484517,    1.014,   22.000, 4100,  18.262,  18.521,   5.145,  15.732,  15.954,   4.432, 81,  0,   0.000,   0.000,   0.000,   0.030,   0.031,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:01:828, 696706925371361,    2.039,   11.000, 1300,  12.802,  31.640,   8.789,  10.801,  27.024,   7.507, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:02:834, 696709743794007,    3.044,    2.000, 2900,   1.561,  33.210,   9.225,   0.386,  27.412,   7.614, 40,  0,   0.000,   0.000,   0.000,   0.018,   0.061,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:03:839, 696712562792275,    4.050,    5.000, 1200,   3.405,  36.633,  10.176,   1.825,  29.247,   8.124, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.074,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:04:850, 696715396745462,    5.061,   10.000, 1200,   5.651,  42.346,  11.763,   4.145,  33.437,   9.288, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:05:866, 696718245057040,    6.077,    4.000, 1200,   2.984,  45.378,  12.605,   1.610,  35.073,   9.743, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.091,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:06:869, 696721057008469,    7.080,    1.000, 1100,   1.268,  46.650,  12.958,   0.281,  35.355,   9.821, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:07:884, 696723900456950,    8.095,    4.000, 1300,   2.538,  49.224,  13.673,   1.344,  36.718,  10.199, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:08:903, 696726757203533,    9.114,    2.000, 1200,   1.781,  51.039,  14.177,   0.426,  37.152,  10.320, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.111,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:09:904, 696729564754931,   10.115,    4.000, 1200,   3.135,  54.179,  15.050,   1.714,  38.869,  10.797, 38,  0,   0.000,   0.000,   0.000,   0.015,   0.126,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:10:921, 696732414005800,   11.132,    2.000, 1200,   1.540,  55.744,  15.484,   0.418,  39.293,  10.915, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.133,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:11:924, 696735224839318,   12.134,    3.000, 1200,   2.806,  58.557,  16.266,   1.601,  40.899,  11.361, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.141,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:12:940, 696738074567249,   13.151,    1.000, 1100,   1.350,  59.930,  16.647,   0.291,  41.195,  11.443, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:41:13:944, 696740887885592,   14.155,    4.000, 1100,   3.057,  62.998,  17.499,   1.692,  42.892,  11.915, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.156,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
