System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:57:17:475, 689350291184571,    1.007,   22.000, 1700,  19.567,  19.700,   5.472,  16.908,  17.023,   4.729, 70,  0,   0.000,   0.000,   0.000,   0.126,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:18:482, 689353113860093,    2.014,   15.000, 2100,  14.042,  33.839,   9.400,  11.823,  28.929,   8.036, 41,  0,   0.000,   0.000,   0.000,   0.017,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:19:495, 689355953570757,    3.027,   15.000, 1200,  11.276,  45.262,  12.573,   9.178,  38.226,  10.618, 41,  0,   0.000,   0.000,   0.000,   0.069,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:20:499, 689358767331279,    4.031,    4.000, 1200,   2.159,  47.429,  13.175,   0.889,  39.118,  10.866, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.224,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:21:511, 689361603828472,    5.042,    8.000, 1200,   4.200,  51.679,  14.355,   2.807,  41.959,  11.655, 41,  0,   0.000,   0.000,   0.000,   0.014,   0.238,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:22:531, 689364463816489,    6.063,    2.000, 1200,   2.447,  54.176,  15.049,   0.943,  42.921,  11.923, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:23:537, 689367282741179,    7.068,    4.000, 1200,   2.850,  57.042,  15.845,   1.496,  44.426,  12.340, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.254,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:24:541, 689370097728846,    8.073,    1.000, 1100,   1.355,  58.402,  16.223,   0.294,  44.721,  12.423, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.266,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:25:557, 689372945934939,    9.089,    4.000, 1200,   2.913,  61.362,  17.045,   1.745,  46.495,  12.915, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.283,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:26:562, 689375761728488,   10.093,    1.000, 1100,   1.293,  62.661,  17.406,   0.263,  46.759,  12.989, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.296,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:27:566, 689378578950735,   11.098,    4.000, 1200,   3.150,  65.827,  18.285,   1.699,  48.467,  13.463, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.304,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:28:583, 689381427859031,   12.114,    1.000, 1200,   1.414,  67.264,  18.684,   0.328,  48.801,  13.556, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.313,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:29:586, 689384241120259,   13.118,    4.000, 1200,   2.706,  69.979,  19.439,   1.488,  50.294,  13.970, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.320,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:30:590, 689387053662312,   14.121,    2.000, 1200,   1.370,  71.354,  19.820,   0.299,  50.594,  14.054, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.335,   0.093,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:31:593, 689389865018179,   15.124,    3.000, 1200,   2.846,  74.208,  20.613,   1.677,  52.276,  14.521, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:32:607, 689392707968319,   16.138,    1.000, 1200,   1.514,  75.743,  21.040,   0.356,  52.637,  14.621, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.347,   0.096,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:33:613, 689395529563319,   17.145,    3.000, 1300,   2.588,  78.348,  21.763,   1.381,  54.027,  15.007, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.351,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:34:617, 689398344048012,   18.149,    1.000, 1100,   1.364,  79.718,  22.144,   0.342,  54.370,  15.103, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.355,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:35:619, 689401152534419,   19.151,    3.000, 4700,   1.757,  81.478,  22.633,   0.466,  54.837,  15.233, 62,  0,   0.000,   0.000,   0.000,   0.013,   0.368,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:36:629, 689403983475956,   20.161,    2.000, 1200,   2.236,  83.737,  23.260,   1.131,  55.979,  15.550, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.374,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:37:633, 689406797460850,   21.165,    2.000, 1200,   1.817,  85.561,  23.767,   0.550,  56.531,  15.703, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:38:638, 689409614786993,   22.170,    4.000, 1200,   2.841,  88.416,  24.560,   1.644,  58.184,  16.162, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.389,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:57:39:643, 689412432993129,   23.175,    1.000, 1200,   1.479,  89.902,  24.973,   0.294,  58.479,  16.244, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.399,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
