System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:22:30:880, 693592694404266,    1.012,   19.000, 4100,  17.689,  17.905,   4.974,  15.128,  15.313,   4.254, 72,  0,   0.000,   0.000,   0.000,   0.028,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:31:903, 693595564275245,    2.036,   12.000, 2300,  13.619,  31.848,   8.847,  11.279,  26.860,   7.461, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:32:910, 693598384820345,    3.042,    4.000, 3700,   2.581,  34.446,   9.568,   0.980,  27.846,   7.735, 44,  0,   0.000,   0.000,   0.000,   0.022,   0.058,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:33:925, 693601231476977,    4.058,    3.000, 4100,   2.169,  36.649,  10.180,   0.879,  28.738,   7.983, 47,  0,   0.000,   0.000,   0.000,   0.009,   0.068,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:34:943, 693604083911855,    5.075,    4.000, 1100,   3.952,  40.670,  11.297,   2.570,  31.353,   8.709, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.081,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:35:945, 693606893365299,    6.077,    2.000, 1200,   1.513,  42.187,  11.718,   0.418,  31.772,   8.825, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.088,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:36:948, 693609705450306,    7.081,    3.000, 1200,   2.663,  44.858,  12.461,   1.517,  33.293,   9.248, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.095,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:37:954, 693612525907762,    8.087,    3.000, 1200,   1.949,  46.819,  13.005,   0.476,  33.772,   9.381, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:38:961, 693615348406474,    9.094,    4.000, 1200,   3.218,  50.059,  13.905,   1.810,  35.594,   9.887, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:22:39:965, 693618162889314,   10.098,    2.000, 1200,   1.379,  51.443,  14.290,   0.318,  35.913,   9.976, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.118,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
