System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:48:52:820, 687935633380204,    1.015,   20.000, 4100,  17.262,  17.517,   4.866,  14.567,  14.783,   4.106, 67,  0,   0.000,   0.000,   0.000,   0.042,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:53:841, 687938493684657,    2.035,   19.000, 4100,  16.489,  34.343,   9.540,  14.327,  29.401,   8.167, 84,  0,   0.000,   0.000,   0.000,   0.065,   0.108,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:54:864, 687941361516250,    3.058,   11.000, 1200,  15.763,  50.469,  14.019,  13.742,  43.460,  12.072, 41,  0,   0.000,   0.000,   0.000,   0.036,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:55:869, 687944179872369,    4.064,    5.000, 1200,   3.401,  53.888,  14.969,   2.074,  45.545,  12.651, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:56:873, 687946994645991,    5.068,    3.000, 1400,   2.105,  56.002,  15.556,   0.592,  46.139,  12.816, 43,  0,   0.000,   0.000,   0.000,   0.016,   0.171,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:57:884, 687949827202696,    6.078,    5.000, 1200,   4.448,  60.496,  16.804,   2.851,  49.020,  13.617, 41,  0,   0.000,   0.000,   0.000,   0.012,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:58:889, 687952644436126,    7.083,    8.000, 1200,   4.974,  65.495,  18.193,   3.335,  52.372,  14.548, 40,  0,   0.000,   0.000,   0.000,   0.043,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:48:59:896, 687955468063869,    8.091,    6.000, 1300,   4.274,  69.800,  19.389,   2.477,  54.867,  15.241, 41,  0,   0.000,   0.000,   0.000,   0.021,   0.248,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:49:00:900, 687958282696796,    9.095,    7.000, 1200,   3.693,  73.508,  20.419,   1.678,  56.552,  15.709, 40,  0,   0.000,   0.000,   0.000,   0.027,   0.275,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:49:01:903, 687961092752136,   10.097,    3.000, 4100,   2.618,  76.133,  21.148,   1.385,  57.941,  16.095, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:49:02:918, 687963940424556,   11.113,    1.000, 1200,   1.513,  77.669,  21.575,   0.304,  58.250,  16.181, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.290,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
09:49:03:931, 687966779130016,   12.126,    7.000, 1300,   4.311,  82.035,  22.788,   2.698,  60.982,  16.939, 40,  0,   0.000,   0.000,   0.000,   0.036,   0.326,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
