System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:26:25:219, 704341184488320,    1.015,   22.000, 4100,  20.018,  20.326,   5.646,  17.544,  17.814,   4.948, 69,  0,   0.000,   0.000,   0.000,   0.051,   0.052,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:26:245, 704344059958758,    2.041,   11.000, 1800,  12.835,  33.492,   9.303,  10.773,  28.865,   8.018, 83,  0,   0.000,   0.000,   0.000,   0.008,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:27:290, 704346989917428,    3.086,   16.000, 1600,  15.370,  49.557,  13.766,  12.965,  42.416,  11.782, 68,  0,   0.000,   0.000,   0.000,   0.021,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:28:322, 704349881679787,    4.118,   17.000, 4100,  16.540,  66.619,  18.505,  14.133,  56.995,  15.832, 77,  0,   0.000,   0.000,   0.000,   0.006,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:29:363, 704352800085295,    5.159,   16.000, 1200,  14.549,  81.766,  22.713,  12.072,  69.563,  19.323, 44,  0,   0.000,   0.000,   0.000,   0.004,   0.092,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:30:370, 704355624015878,    6.166,    7.000, 3300,   3.666,  85.459,  23.739,   2.064,  71.642,  19.901, 42,  0,   0.000,   0.000,   0.000,   0.018,   0.110,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:31:373, 704358435226013,    7.169,    5.000, 1600,   3.180,  88.649,  24.625,   1.697,  73.344,  20.373, 46,  0,   0.000,   0.000,   0.000,   0.008,   0.118,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:32:388, 704361281640148,    8.185,    6.000, 1300,   6.615,  95.365,  26.490,   4.907,  78.327,  21.758, 45,  0,   0.000,   0.000,   0.000,   0.011,   0.129,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:33:394, 704364100362953,    9.190,    2.000, 3300,   1.434,  96.808,  26.891,   0.386,  78.715,  21.865, 45,  0,   0.000,   0.000,   0.000,   0.012,   0.141,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:34:408, 704366942978407,   10.204,    3.000, 1100,   2.368,  99.209,  27.558,   1.189,  79.921,  22.200, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:35:414, 704369760665764,   11.210,    1.000, 1100,   1.481, 100.697,  27.971,   0.306,  80.229,  22.286, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.162,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:36:417, 704372572620771,   12.213,    4.000, 1200,   2.697, 103.403,  28.723,   1.452,  81.685,  22.690, 42,  0,   0.000,   0.000,   0.000,   0.007,   0.169,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:37:421, 704375387623541,   13.217,    1.000, 1200,   1.346, 104.755,  29.099,   0.310,  81.997,  22.777, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.178,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:38:424, 704378199454684,   14.220,    4.000, 1200,   2.973, 107.737,  29.927,   1.549,  83.550,  23.208, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:39:427, 704381010028684,   15.223,    1.000, 1200,   1.447, 109.188,  30.330,   0.290,  83.840,  23.289, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.195,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:40:432, 704383827773930,   16.228,    4.000, 1200,   2.794, 111.996,  31.110,   1.458,  85.306,  23.696, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.203,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:41:435, 704386639802748,   17.231,    2.000, 1200,   1.381, 113.381,  31.495,   0.351,  85.659,  23.794, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:42:440, 704389456532560,   18.236,    3.000, 1200,   2.724, 116.118,  32.255,   1.368,  87.033,  24.176, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:43:451, 704392290899245,   19.247,    1.000, 1200,   1.271, 117.404,  32.612,   0.265,  87.301,  24.250, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.228,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:44:456, 704395109463515,   20.252,    4.000, 1200,   2.710, 120.128,  33.369,   1.555,  88.865,  24.685, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.234,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:45:471, 704397955416646,   21.268,    1.000, 1200,   1.467, 121.617,  33.783,   0.279,  89.149,  24.764, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:46:474, 704400766280154,   22.270,    5.000, 1200,   2.772, 124.397,  34.555,   1.522,  90.675,  25.187, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:47:481, 704403587857543,   23.277,    2.000, 1200,   1.481, 125.888,  34.969,   0.348,  91.025,  25.285, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.258,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:26:48:486, 704406406203801,   24.282,    4.000, 1300,   2.641, 128.544,  35.707,   1.424,  92.457,  25.682, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.264,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
