Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9261672095548317,0.9058171745152355,0.9008264462809917,0.9108635097493036,6.504342965284064e-08,7.458249999999999e-05,0.6004288196563721,0.001087768587822764,3.207530975341797,0.0027456283569335938,14239212.392367799,13926343.972787045,1.5425095852075872,0.2887477055326453
NaiveBayes,0,0.8338762214983714,0.8189349112426035,0.953168044077135,0.7178423236514523,1.5092134286944416e-09,6.290944444444444e-05,0.01298975944519043,0.002172689613897301,3.6105594635009766,0.003958702087402344,552523722.3867822,542623657.9083651,64.19489329397253,0.23095485060639434
RandomForest,0,0.9446254071661238,0.9282700421940928,0.9090909090909091,0.9482758620689655,8.985107716456407e-08,7.333138888888888e-05,0.9510781764984131,0.011941638495065231,2.4051904678344727,4.373406410217285,10513234.086621167,10331206.608619142,0.9932153113258823,0.39274453304175233
GradientBoosting,0,0.9391965255157437,0.9215686274509803,0.90633608815427,0.9373219373219374,2.1283764430495528e-07,6.879e-05,1.1416730880737305,0.0021719130061477842,2.4060325622558594,0.18064117431640625,4412736.894278234,4329913.678853494,0.8226492638977659,0.39035071272483834
SVM,0,0.7057546145494028,0.555008210180624,0.465564738292011,0.6869918699186992,7.449567358898434e-07,8.582194444444445e-05,2.205723285675049,0.2736183253483974,3.298142433166504,1.047633171081543,947376.6469221679,745020.72864362,0.31996516477515025,0.21398548693720815
KNN,0,0.7991313789359392,0.7419804741980475,0.7327823691460055,0.751412429378531,9.860349373946322e-10,6.40463888888889e-05,0.007088422775268555,0.15945957486197176,3.2088851928710938,1.6306495666503906,810449354.9158186,752489030.6205155,112.73754462334014,0.24903707390694474
DecisionTree,0,0.9109663409337676,0.8876712328767123,0.8925619834710744,0.8828337874659401,9.119694674034993e-09,6.190666666666667e-05,0.07920145988464355,0.0011734543095194168,2.4083738327026367,0.038781166076660156,99890004.3800164,97335630.69869353,11.501888251309818,0.37824955933502086
LogisticRegression,10,0.9087947882736156,0.8823529411764706,0.8677685950413223,0.8974358974358975,7.12201138409413e-08,6.450805555555556e-05,0.8491570949554443,0.001150156077033922,1.7734146118164062,0.0027456283569335938,12760366.970253138,12389097.596039573,1.0702316375526493,0.5124547763496713
NaiveBayes,10,0.7633007600434311,0.7545045045045045,0.9228650137741047,0.638095238095238,1.3255555361323366e-09,6.320277777777777e-05,0.011983394622802734,0.0011819969947640982,2.0093860626220703,0.003958702087402344,575834613.6673877,569198712.4930077,63.696538757972284,0.3798676492497372
RandomForest,10,0.9239956568946797,0.9002849002849003,0.8705234159779615,0.9321533923303835,2.28008029817848e-07,6.807972222222222e-05,1.1145789623260498,0.010860600507738277,1.2697649002075195,4.904717445373535,4052469.80833458,3948478.924203343,0.8290087002596606,0.7276903438925345
