System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:42:48:890, 1282323883047849,    0.109,    3.000, 1200,   1.715,   0.187,   0.052,   0.416,   0.045,   0.013, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:48:998, 1282324187353673,    0.218,    1.000, 1200,   1.067,   0.303,   0.084,   0.238,   0.071,   0.020, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:106, 1282324490566701,    0.326,    3.000, 1200,   2.301,   0.552,   0.153,   0.565,   0.132,   0.037, 39,  0,   0.000,   0.000,   0.000,   0.114,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:215, 1282324794929470,    0.434,    1.000, 1200,   1.100,   0.671,   0.186,   0.180,   0.152,   0.042, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.016,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:322, 1282325094971421,    0.542,    1.000, 1100,   1.276,   0.808,   0.224,   0.316,   0.186,   0.052, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.017,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:429, 1282325394995533,    0.649,    1.000, 1200,   1.086,   0.924,   0.257,   0.203,   0.208,   0.058, 38,  0,   0.000,   0.000,   0.000,   0.000,   0.017,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:536, 1282325695711065,    0.756,    1.000, 1200,   1.185,   1.051,   0.292,   0.193,   0.228,   0.063, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.017,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:643, 1282325995732583,    0.863,    1.000, 1200,   1.451,   1.206,   0.335,   0.332,   0.264,   0.073, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.017,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:751, 1282326298844684,    0.971,    1.000, 1200,   1.412,   1.359,   0.378,   0.270,   0.293,   0.081, 38,  0,   0.000,   0.000,   0.000,   0.024,   0.019,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:859, 1282326599338850,    1.078,    5.000, 1200,   2.434,   1.620,   0.450,   1.291,   0.431,   0.120, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.020,   0.006,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:42:49:860, 1282326601497272,    1.079,   13.000, 1200,   0.000,   1.620,   0.450,   0.000,   0.431,   0.120, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.020,   0.006,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.078955
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 1.619995
Cumulative Processor Energy_0 (mWh) = 0.449999
Average Processor Power_0 (Watt) = 1.501449

Cumulative IA Energy_0 (Joules) = 0.431396
Cumulative IA Energy_0 (mWh) = 0.119832
Average IA Power_0 (Watt) = 0.399828

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.020386
Cumulative GT Energy_0 (mWh) = 0.005663
Average GT Power_0 (Watt) = 0.018894
