System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:55:00:566, 588049677671072,    1.003,   21.000, 1500,  15.005,  15.056,   4.182,  12.465,  12.506,   3.474, 63,  0,   0.000,   0.000,   0.000,   0.049,   0.049,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:01:605, 588052591042025,    2.043,   26.000, 4100,  12.867,  28.428,   7.897,  10.442,  23.359,   6.488, 73,  0,   0.000,   0.000,   0.000,   0.037,   0.088,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:02:643, 588055501185198,    3.081,    9.000, 1200,  10.124,  38.939,  10.816,   8.373,  32.051,   8.903, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.099,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:03:659, 588058348622949,    4.097,    6.000, 1200,   3.355,  42.346,  11.763,   1.778,  33.857,   9.405, 40,  0,   0.000,   0.000,   0.000,   0.022,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:04:664, 588061167707933,    5.102,    3.000, 1200,   2.442,  44.802,  12.445,   1.019,  34.882,   9.689, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:05:671, 588063987867826,    6.108,    4.000, 1300,   3.602,  48.425,  13.451,   2.191,  37.086,  10.302, 41,  0,   0.000,   0.000,   0.000,   0.004,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:06:682, 588066823801907,    7.120,    8.000, 1100,   3.732,  52.200,  14.500,   2.256,  39.369,  10.936, 38,  0,   0.000,   0.000,   0.000,   0.028,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:07:688, 588069643020281,    8.126,    2.000, 4100,   1.763,  53.973,  14.993,   0.502,  39.874,  11.076, 49,  0,   0.000,   0.000,   0.000,   0.011,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:08:689, 588072449891116,    9.127,    3.000, 1200,   2.592,  56.569,  15.714,   1.245,  41.121,  11.423, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:55:09:692, 588075261161961,   10.130,    2.000, 1100,   1.457,  58.030,  16.119,   0.343,  41.466,  11.518, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.207,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
