System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:22:59:378, 572572677910676,    1.006,   23.000, 4100,  13.649,  13.732,   3.815,  11.205,  11.273,   3.132, 68,  0,   0.000,   0.000,   0.000,   0.031,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:00:420, 572575598858908,    2.048,   18.000, 4100,  10.691,  24.873,   6.909,   8.727,  20.367,   5.657, 66,  0,   0.000,   0.000,   0.000,   0.033,   0.066,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:01:465, 572578526126694,    3.092,   17.000, 4500,  14.361,  39.869,  11.075,  11.994,  32.892,   9.137, 58,  0,   0.000,   0.000,   0.000,   0.005,   0.071,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:02:484, 572581382947797,    4.111,   14.000, 4100,  14.380,  54.524,  15.146,  12.273,  45.399,  12.611, 73,  0,   0.000,   0.000,   0.000,   0.001,   0.071,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:03:546, 572584361954337,    5.174,   18.000, 4100,  15.343,  70.829,  19.675,  13.039,  59.256,  16.460, 61,  0,   0.000,   0.000,   0.000,   0.009,   0.081,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:04:579, 572587257329295,    6.207,   16.000, 4100,  13.700,  84.979,  23.605,  11.420,  71.052,  19.737, 54,  0,   0.000,   0.000,   0.000,   0.012,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:05:611, 572590149538648,    7.239,   20.000, 4100,  14.418,  99.855,  27.737,  12.068,  83.502,  23.195, 71,  0,   0.000,   0.000,   0.000,   0.000,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:06:676, 572593135671130,    8.304,   15.000, 4100,  15.341, 116.197,  32.277,  13.081,  97.437,  27.066, 55,  0,   0.000,   0.000,   0.000,   0.004,   0.098,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:07:691, 572595979163717,    9.318,   20.000, 4400,  15.384, 131.801,  36.612,  13.027, 110.651,  30.736, 68,  0,   0.000,   0.000,   0.000,   0.001,   0.099,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:08:720, 572598863534449,   10.347,   16.000, 3500,  14.332, 146.548,  40.708,  12.143, 123.146,  34.207, 55,  0,   0.000,   0.000,   0.000,   0.005,   0.104,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:09:736, 572601711662287,   11.363,   18.000, 4400,  14.468, 161.248,  44.791,  12.017, 135.355,  37.599, 69,  0,   0.000,   0.000,   0.000,   0.000,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:10:737, 572604518352670,   12.365,   16.000, 4500,  15.584, 176.851,  49.125,  13.263, 148.634,  41.287, 71,  0,   0.000,   0.000,   0.000,   0.000,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:11:800, 572607496957048,   13.427,   19.000, 4100,  14.374, 192.125,  53.368,  12.014, 161.400,  44.833, 60,  0,   0.000,   0.000,   0.000,   0.000,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:12:862, 572610475904481,   14.490,   16.000, 4100,  14.959, 208.022,  57.784,  12.700, 174.896,  48.582, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:13:893, 572613364570482,   15.520,   18.000, 4100,  14.790, 223.263,  62.017,  12.511, 187.788,  52.163, 77,  0,   0.000,   0.000,   0.000,   0.004,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:14:927, 572616265268633,   16.555,   16.000, 4100,  15.268, 239.062,  66.406,  12.686, 200.916,  55.810, 58,  0,   0.000,   0.000,   0.000,   0.001,   0.110,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:16:004, 572619283411355,   17.632,   10.000, 1300,   8.607, 248.329,  68.980,   6.716, 208.147,  57.819, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:17:013, 572622112621481,   18.641,    5.000, 1200,   3.020, 251.377,  69.827,   1.317, 209.476,  58.188, 43,  0,   0.000,   0.000,   0.000,   0.011,   0.126,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:18:029, 572624958919499,   19.657,   12.000, 1600,   7.085, 258.571,  71.825,   4.919, 214.470,  59.575, 45,  0,   0.000,   0.000,   0.000,   0.004,   0.130,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:19:031, 572627769745746,   20.659,    8.000, 1300,   3.611, 262.192,  72.831,   1.898, 216.373,  60.104, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:20:056, 572630642325918,   21.684,    9.000, 4100,   3.744, 266.029,  73.897,   2.115, 218.540,  60.706, 51,  0,   0.000,   0.000,   0.000,   0.037,   0.175,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:21:061, 572633460509776,   22.689,    5.000, 1200,   2.873, 268.917,  74.699,   1.471, 220.019,  61.116, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.181,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:22:069, 572636284295805,   23.697,    1.000, 1200,   1.398, 270.325,  75.090,   0.305, 220.326,  61.202, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:23:081, 572639122757686,   24.709,    4.000, 1100,   3.138, 273.502,  75.973,   1.584, 221.930,  61.647, 42,  0,   0.000,   0.000,   0.000,   0.011,   0.202,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:24:089, 572641946559263,   25.717,    2.000, 1200,   1.965, 275.482,  76.523,   0.455, 222.388,  61.774, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.212,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:25:095, 572644767434660,   26.723,    4.000, 1200,   2.993, 278.494,  77.359,   1.733, 224.132,  62.259, 42,  0,   0.000,   0.000,   0.000,   0.007,   0.219,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:26:103, 572647592347022,   27.731,    1.000, 1200,   1.436, 279.940,  77.761,   0.333, 224.467,  62.352, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.225,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:27:110, 572650415793748,   28.738,    3.000, 1200,   2.407, 282.364,  78.435,   1.136, 225.611,  62.670, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.232,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
22:23:28:119, 572653243285954,   29.747,    2.000, 1200,   2.013, 284.395,  78.999,   0.481, 226.096,  62.805, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.238,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
