System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:15:25:027, 591482089002278,    1.009,   26.000,  900,   7.196,   7.263,   2.018,   4.740,   4.784,   1.329, 53,  0,   0.000,   0.000,   0.000,   0.035,   0.035,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:26:055, 591484970466479,    2.037,   25.000, 1200,   7.310,  14.777,   4.105,   4.993,   9.917,   2.755, 46,  0,   0.000,   0.000,   0.000,   0.024,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:27:062, 591487791696195,    3.044,    6.000, 1300,   3.307,  18.105,   5.029,   1.761,  11.688,   3.247, 45,  0,   0.000,   0.000,   0.000,   0.012,   0.071,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:28:066, 591490606357659,    4.048,    3.000, 1200,   2.108,  20.222,   5.617,   0.729,  12.421,   3.450, 44,  0,   0.000,   0.000,   0.000,   0.004,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:29:080, 591493450219002,    5.062,    8.000, 4100,   6.539,  26.856,   7.460,   4.733,  17.222,   4.784, 62,  0,   0.000,   0.000,   0.000,   0.007,   0.083,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:30:099, 591496306676225,    6.081,    8.000, 1300,   8.246,  35.259,   9.794,   6.403,  23.746,   6.596, 45,  0,   0.000,   0.000,   0.000,   0.012,   0.095,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:31:105, 591499127663324,    7.088,   10.000, 1200,   5.564,  40.858,  11.349,   3.705,  27.475,   7.632, 45,  0,   0.000,   0.000,   0.000,   0.041,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:32:107, 591501936213001,    8.090,    1.000, 1200,   1.420,  42.280,  11.745,   0.348,  27.823,   7.729, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.142,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:33:113, 591504754245283,    9.095,    3.000, 1200,   3.034,  45.331,  12.592,   1.671,  29.503,   8.195, 44,  0,   0.000,   0.000,   0.000,   0.010,   0.152,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:15:34:116, 591507566314926,   10.098,    1.000, 1200,   1.539,  46.874,  13.021,   0.306,  29.810,   8.281, 43,  0,   0.000,   0.000,   0.000,   0.007,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
