System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:56:41:583, 588332849881674,    1.014,   23.000, 1500,  14.542,  14.744,   4.096,  12.029,  12.195,   3.388, 67,  0,   0.000,   0.000,   0.000,   0.040,   0.041,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:42:624, 588335768229246,    2.055,   18.000, 1300,  10.406,  25.577,   7.105,   8.278,  20.813,   5.781, 38,  0,   0.000,   0.000,   0.000,   0.034,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:43:630, 588338588368854,    3.061,    4.000, 1300,   3.149,  28.745,   7.985,   1.646,  22.470,   6.242, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:44:647, 588341437843886,    4.077,    3.000, 1200,   1.939,  30.717,   8.532,   0.746,  23.227,   6.452, 38,  0,   0.000,   0.000,   0.000,   0.017,   0.106,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:45:654, 588344261562248,    5.085,    4.000, 4700,   2.982,  33.720,   9.367,   1.565,  24.803,   6.890, 48,  0,   0.000,   0.000,   0.000,   0.021,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:46:673, 588347117847921,    6.104,    3.000, 1200,   2.213,  35.975,   9.993,   1.068,  25.891,   7.192, 37,  0,   0.000,   0.000,   0.000,   0.004,   0.131,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:47:685, 588349956120730,    7.116,   13.000, 1200,   5.038,  41.075,  11.410,   3.370,  29.304,   8.140, 38,  0,   0.000,   0.000,   0.000,   0.045,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:48:691, 588352775551839,    8.122,    4.000, 1200,   2.783,  43.874,  12.187,   1.162,  30.472,   8.465, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.183,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:49:693, 588355584666334,    9.124,    1.000, 1300,   1.486,  45.363,  12.601,   0.273,  30.746,   8.540, 38,  0,   0.000,   0.000,   0.000,   0.015,   0.198,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:56:50:708, 588358429788028,   10.139,    3.000, 1200,   2.910,  48.317,  13.421,   1.672,  32.442,   9.012, 36,  0,   0.000,   0.000,   0.000,   0.014,   0.213,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
