System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:19:59:259, 1248209445864210,    1.004,   26.000, 4100,  19.703,  19.772,   5.492,  16.798,  16.857,   4.683, 88,  0,   0.000,   0.000,   0.000,   0.274,   0.275,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,   27,  87.511
17:20:00:282, 1248212313642287,    2.027,   18.000, 1200,  16.916,  37.078,  10.299,  14.299,  31.486,   8.746, 41,  0,   0.000,   0.000,   0.000,   0.174,   0.453,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,   16,  81.917
17:20:01:304, 1248215177762118,    3.048,    4.000, 1200,   3.384,  40.535,  11.260,   1.826,  33.352,   9.264, 40,  0,   0.000,   0.000,   0.000,   0.045,   0.499,   0.139,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.967
17:20:02:315, 1248218010857590,    4.059,   10.000, 4100,   6.769,  47.376,  13.160,   4.891,  38.295,  10.637, 45,  0,   0.000,   0.000,   0.000,   0.017,   0.516,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.448
17:20:03:338, 1248220879175012,    5.082,    5.000, 1500,   3.716,  51.179,  14.216,   2.071,  40.414,  11.226, 42,  0,   0.000,   0.000,   0.000,   0.040,   0.557,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  84.877
17:20:04:343, 1248223698043564,    6.088,    3.000, 1200,   2.277,  53.469,  14.853,   0.851,  41.270,  11.464, 40,  0,   0.000,   0.000,   0.000,   0.025,   0.582,   0.162,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  90.437
17:20:05:352, 1248226524112652,    7.096,    9.000, 4100,   4.270,  57.774,  16.048,   2.760,  44.053,  12.237, 47,  0,   0.000,   0.000,   0.000,   0.047,   0.629,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  85.524
17:20:06:357, 1248229341547519,    8.101,    4.000, 1100,   4.342,  62.138,  17.260,   2.519,  46.585,  12.940, 40,  0,   0.000,   0.000,   0.000,   0.031,   0.660,   0.183,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.589
17:20:07:360, 1248232155202299,    9.105,   14.000, 1300,   5.368,  67.525,  18.757,   3.222,  49.819,  13.839, 39,  0,   0.000,   0.000,   0.000,   0.024,   0.684,   0.190,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.209
17:20:08:369, 1248234981949484,   10.113,    6.000, 1200,   3.541,  71.096,  19.749,   1.827,  51.661,  14.350, 40,  0,   0.000,   0.000,   0.000,   0.019,   0.704,   0.195,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.570
17:20:09:377, 1248237808452282,   11.121,    2.000, 1100,   1.783,  72.894,  20.248,   0.415,  52.079,  14.467, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.724,   0.201,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.333
17:20:10:385, 1248240635296146,   12.130,    9.000, 1200,   5.112,  78.049,  21.680,   3.441,  55.550,  15.430, 40,  0,   0.000,   0.000,   0.000,   0.038,   0.763,   0.212,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  85.474
17:20:11:390, 1248243450183846,   13.134,    2.000, 1200,   2.228,  80.286,  22.302,   0.529,  56.081,  15.578, 39,  0,   0.000,   0.000,   0.000,   0.026,   0.788,   0.219,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  60.233
17:20:12:408, 1248246304023273,   14.152,    4.000, 1300,   2.759,  83.094,  23.082,   1.323,  57.428,  15.952, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.819,   0.228,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.483
17:20:13:411, 1248249116562840,   15.155,    2.000, 1300,   1.858,  84.958,  23.599,   0.488,  57.918,  16.088, 39,  0,   0.000,   0.000,   0.000,   0.036,   0.855,   0.237,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  79.609
17:20:14:414, 1248251928318829,   16.158,    4.000, 1200,   2.984,  87.951,  24.431,   1.569,  59.491,  16.525, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.877,   0.243,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  90.403
17:20:15:430, 1248254777453248,   17.175,    2.000, 1100,   1.590,  89.566,  24.880,   0.396,  59.894,  16.637, 39,  0,   0.000,   0.000,   0.000,   0.024,   0.901,   0.250,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.952
17:20:16:437, 1248257599272849,   18.182,    4.000, 4700,   2.925,  92.511,  25.698,   1.578,  61.483,  17.079, 40,  0,   0.000,   0.000,   0.000,   0.032,   0.932,   0.259,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.174
17:20:17:439, 1248260408566973,   19.184,    2.000, 1200,   1.882,  94.397,  26.221,   0.487,  61.971,  17.214, 39,  0,   0.000,   0.000,   0.000,   0.021,   0.954,   0.265,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.706
17:20:18:446, 1248263231707829,   20.191,    4.000, 1200,   3.368,  97.789,  27.164,   1.876,  63.860,  17.739, 40,  0,   0.000,   0.000,   0.000,   0.022,   0.977,   0.271,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.713
17:20:19:454, 1248266056077760,   21.198,    2.000, 1200,   1.639,  99.440,  27.622,   0.446,  64.309,  17.864, 39,  0,   0.000,   0.000,   0.000,   0.027,   1.004,   0.279,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.057
17:20:20:461, 1248268879343908,   22.206,    4.000, 1300,   2.651, 102.110,  28.364,   1.326,  65.645,  18.235, 40,  0,   0.000,   0.000,   0.000,   0.025,   1.029,   0.286,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.571
17:20:21:465, 1248271694506901,   23.210,    2.000, 1200,   1.629, 103.746,  28.818,   0.491,  66.138,  18.372, 40,  0,   0.000,   0.000,   0.000,   0.023,   1.053,   0.292,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.294
17:20:22:471, 1248274514175833,   24.216,    4.000, 4000,   3.011, 106.776,  29.660,   1.515,  67.662,  18.795, 41,  0,   0.000,   0.000,   0.000,   0.037,   1.090,   0.303,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.878
17:20:23:482, 1248277347887303,   25.227,    2.000, 1200,   1.663, 108.457,  30.127,   0.487,  68.154,  18.932, 40,  0,   0.000,   0.000,   0.000,   0.027,   1.117,   0.310,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.669
17:20:24:486, 1248280160987276,   26.230,    2.000, 4100,   1.653, 110.116,  30.588,   0.501,  68.657,  19.071, 40,  0,   0.000,   0.000,   0.000,   0.023,   1.140,   0.317,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.905
17:20:25:492, 1248282981124748,   27.236,    4.000, 1100,   2.606, 112.737,  31.316,   1.285,  69.950,  19.431, 39,  0,   0.000,   0.000,   0.000,   0.024,   1.164,   0.323,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.697
17:20:26:499, 1248285805982778,   28.244,    3.000, 1200,   2.192, 114.947,  31.930,   0.807,  70.764,  19.657, 39,  0,   0.000,   0.000,   0.000,   0.027,   1.192,   0.331,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.663
17:20:27:508, 1248288634180314,   29.253,    4.000, 1100,   2.940, 117.913,  32.754,   1.577,  72.354,  20.098, 39,  0,   0.000,   0.000,   0.000,   0.032,   1.224,   0.340,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.717
17:20:28:516, 1248291459891967,   30.261,    4.000, 1100,   2.103, 120.033,  33.342,   0.655,  73.014,  20.282, 38,  0,   0.000,   0.000,   0.000,   0.021,   1.246,   0.346,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.676
17:20:29:522, 1248294279044972,   31.266,    4.000, 1100,   3.058, 123.108,  34.197,   1.487,  74.510,  20.697, 39,  0,   0.000,   0.000,   0.000,   0.028,   1.274,   0.354,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.865
17:20:30:540, 1248297133509215,   32.285,    2.000, 1200,   1.760, 124.901,  34.695,   0.430,  74.947,  20.819, 39,  0,   0.000,   0.000,   0.000,   0.019,   1.293,   0.359,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.859
17:20:31:556, 1248299981584886,   33.301,    4.000, 4100,   3.495, 128.452,  35.681,   1.807,  76.783,  21.329, 39,  0,   0.000,   0.000,   0.000,   0.015,   1.309,   0.364,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.443
17:20:32:558, 1248302791244202,   34.303,    2.000, 1200,   1.529, 129.985,  36.107,   0.416,  77.200,  21.444, 39,  0,   0.000,   0.000,   0.000,   0.026,   1.335,   0.371,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  79.246
17:20:33:565, 1248305612248202,   35.309,    4.000, 1200,   3.067, 133.071,  36.964,   1.556,  78.766,  21.879, 39,  0,   0.000,   0.000,   0.000,   0.034,   1.369,   0.380,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.206
17:20:34:572, 1248308435387738,   36.317,    2.000, 1200,   1.566, 134.648,  37.402,   0.401,  79.170,  21.992, 38,  0,   0.000,   0.000,   0.000,   0.022,   1.392,   0.387,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.857
17:20:35:577, 1248311253879040,   37.322,    4.000, 1200,   2.697, 137.360,  38.156,   1.446,  80.624,  22.396, 39,  0,   0.000,   0.000,   0.000,   0.021,   1.413,   0.393,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.748
17:20:36:583, 1248314072126401,   38.327,    2.000, 1200,   1.796, 139.165,  38.657,   0.379,  81.005,  22.502, 40,  0,   0.000,   0.000,   0.000,   0.035,   1.448,   0.402,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.837
17:20:37:590, 1248316896761570,   39.335,    7.000, 1200,   4.192, 143.390,  39.830,   2.751,  83.778,  23.272, 39,  0,   0.000,   0.000,   0.000,   0.023,   1.472,   0.409,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.340
