System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:45:43:177, 1252537414702164,    1.007,   21.000, 4100,  18.571,  18.694,   5.193,  15.812,  15.917,   4.421, 80,  0,   0.000,   0.000,   0.000,   0.221,   0.223,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,   23,  87.281
17:45:44:251, 1252540423841327,    2.080,   20.000, 4100,  18.183,  38.213,  10.615,  15.471,  32.525,   9.035, 83,  0,   0.000,   0.000,   0.000,   0.173,   0.408,   0.113,  64.000,  64.000, 121.000,   0.000,   0.000,   17,  88.145
17:45:45:285, 1252543323423993,    3.114,   14.000, 4100,  17.617,  56.435,  15.676,  15.264,  48.313,  13.420, 83,  0,   0.000,   0.000,   0.000,   0.032,   0.441,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.805
17:45:46:315, 1252546210896708,    4.145,   16.000, 1800,  17.779,  74.749,  20.764,  15.609,  64.392,  17.887, 86,  0,   0.000,   0.000,   0.000,   0.042,   0.485,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.240
17:45:47:360, 1252549140366411,    5.190,   15.000, 4100,  17.984,  93.542,  25.984,  15.784,  80.887,  22.469, 86,  0,   0.000,   0.000,   0.000,   0.046,   0.532,   0.148,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  66.359
17:45:48:390, 1252552026292307,    6.219,   17.000, 4700,  19.071, 113.176,  31.438,  16.753,  98.134,  27.260, 83,  0,   0.000,   0.000,   0.000,   0.035,   0.568,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  86.550
17:45:49:437, 1252554960909464,    7.266,   19.000, 4100,  18.812, 132.870,  36.908,  16.478, 115.385,  32.051, 80,  0,   0.000,   0.000,   0.000,   0.018,   0.587,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.115
17:45:50:468, 1252557851041386,    8.297,   18.000, 4100,  19.322, 152.791,  42.442,  16.831, 132.737,  36.871, 74,  0,   0.000,   0.000,   0.000,   0.041,   0.630,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  83.831
17:45:51:531, 1252560831561896,    9.360,   15.000, 4100,  19.453, 173.474,  48.187,  17.084, 150.902,  41.917, 64,  0,   0.000,   0.000,   0.000,   0.034,   0.666,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.642
17:45:52:560, 1252563715461977,   10.389,   18.000, 4700,  19.977, 194.026,  53.896,  17.694, 169.105,  46.974, 66,  0,   0.000,   0.000,   0.000,   0.026,   0.693,   0.193,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  81.707
17:45:53:579, 1252566571762954,   11.408,   16.000, 4100,  18.813, 213.195,  59.221,  16.339, 185.754,  51.598, 88,  0,   0.000,   0.000,   0.000,   0.017,   0.710,   0.197,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.268
17:45:54:625, 1252569505897474,   12.455,   17.000, 4100,  18.941, 233.021,  64.728,  16.445, 202.967,  56.380, 86,  0,   0.000,   0.000,   0.000,   0.017,   0.728,   0.202,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.194
