System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:52:39:795, 1263796958524646,    1.012,   25.000, 4100,  12.786,  12.936,   3.593,  10.093,  10.212,   2.837, 68,  0,   0.000,   0.000,   0.000,   0.181,   0.183,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,   22,  86.695
18:52:40:834, 1263799872777853,    2.051,   36.000, 3500,  12.701,  26.140,   7.261,   9.342,  19.924,   5.534, 46,  0,   0.000,   0.000,   0.000,   0.133,   0.321,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,   12,  83.114
18:52:41:862, 1263802753952129,    3.079,   21.000, 1700,  14.245,  40.781,  11.328,  11.057,  31.289,   8.691, 67,  0,   0.000,   0.000,   0.000,   0.006,   0.328,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.185
18:52:42:944, 1263805787991048,    4.162,   15.000, 1700,  13.903,  55.829,  15.508,  11.309,  43.528,  12.091, 60,  0,   0.000,   0.000,   0.000,   0.026,   0.356,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  64.368
18:52:43:989, 1263808716098269,    5.206,   18.000, 1600,  11.757,  68.110,  18.919,   9.126,  53.061,  14.739, 64,  0,   0.000,   0.000,   0.000,   0.023,   0.380,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  84.366
18:52:45:019, 1263811605241113,    6.237,   16.000, 2100,  13.789,  82.322,  22.867,  11.003,  64.402,  17.889, 56,  0,   0.000,   0.000,   0.000,   0.001,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  72.510
18:52:46:065, 1263814535589851,    7.282,   18.000, 4100,  12.344,  95.225,  26.451,   9.805,  74.651,  20.736, 48,  0,   0.000,   0.000,   0.000,   0.000,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  64.470
18:52:47:113, 1263817475163770,    8.331,   16.000, 1900,  12.913, 108.766,  30.213,  10.372,  85.528,  23.758, 69,  0,   0.000,   0.000,   0.000,   0.009,   0.390,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.521
18:52:48:203, 1263820529562448,    9.420,   19.000, 4100,  13.012, 122.945,  34.151,  10.375,  96.833,  26.898, 55,  0,   0.000,   0.000,   0.000,   0.021,   0.413,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  70.046
18:52:49:281, 1263823551142773,   10.498,   16.000, 3800,  13.255, 137.233,  38.120,  10.702, 108.368,  30.102, 59,  0,   0.000,   0.000,   0.000,   0.004,   0.417,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  66.113
18:52:50:326, 1263826482249354,   11.544,   19.000, 4100,  13.886, 151.753,  42.154,  11.364, 120.251,  33.403, 51,  0,   0.000,   0.000,   0.000,   0.015,   0.433,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.637
18:52:51:344, 1263829335542486,   12.562,   17.000, 1600,  12.877, 164.859,  45.794,  10.317, 130.752,  36.320, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.434,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.064
18:52:52:372, 1263832217489054,   13.590,   19.000, 4100,  15.229, 180.516,  50.143,  12.538, 143.643,  39.901, 53,  0,   0.000,   0.000,   0.000,   0.003,   0.437,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.137
18:52:53:432, 1263835189084478,   14.650,   17.000, 1700,  13.008, 194.305,  53.974,  10.360, 154.625,  42.951, 66,  0,   0.000,   0.000,   0.000,   0.000,   0.437,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.295
