Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.854893328818151,0.8487380125904571,0.8129155866110673,0.8878631216149679,5.023172038844973e-09,7.684194444444444e-05,0.04619002342224121,5.669135758860384e-05,9.578446388244629,0.0008687973022460938,170189936.20109516,168964551.88614556,18.508181323123267,0.08925177363495386
NaiveBayes,0,0.9554125747827068,0.9538281706604325,0.9196438634058379,0.990651936384606,1.8084282965302358e-09,7.510027777777777e-05,0.00999903678894043,0.00016921287008703852,3.5893783569335938,0.0013036727905273438,528311007.19659245,527434885.02724004,95.55046100434933,0.26617772766616776
RandomForest,0,0.9898408398239079,0.9898408398239079,0.9882790487997295,0.991407574901074,5.3897822267392905e-06,0.00014926166666666667,12.495984315872192,0.0066084252992727535,7.638689041137695,14.566109657287598,183651.36070121735,183651.36070121735,0.07921271464518632,0.12958255461024532
GradientBoosting,0,0.9843661812845693,0.9843086160992466,0.9791502310379804,0.9895216400911162,5.560455391324705e-06,0.00012903444444444445,11.951299667358398,0.0011850821674509262,8.12138557434082,0.19051361083984375,177029.77760065388,177019.4249979853,0.08236478112695038,0.12120667985455995
SVM,0,0.9866802122135682,0.9866258642185198,0.9810661557534092,0.9922489456286333,1.1755873960893936e-05,0.00032425166666666665,46.619051933288574,0.2760418059662,11.155335426330566,0.24239635467529297,83930.8260275478,83926.20297738333,0.02116474212357425,0.08844917472267587
KNN,0,0.9886556044700304,0.9885957446808511,0.9818550659303505,0.9954296160877514,7.2958220565284584e-09,7.923111111111112e-05,0.0660099983215332,0.03562592292076874,10.620620727539062,8.071004867553711,135509829.7093691,135501625.04254532,14.977361454461965,0.09308830715576405
DecisionTree,0,0.9835760243819844,0.9835936178609685,0.9830947819226868,0.9840929602888087,4.996911074922398e-08,7.719944444444444e-05,0.5167100429534912,0.00011261570654142547,5.481820106506348,0.14632511138916016,19683680.770670097,19684032.85776391,1.903535721426873,0.17942508241278887
LogisticRegression,10,0.8419686194830116,0.8308770234356124,0.7751605995717344,0.8952232200963165,4.582249476094892e-09,7.649000000000001e-05,0.041810035705566406,5.689320196644126e-05,9.570596694946289,0.0008687973022460938,183745696.05506474,181325139.05456468,20.1379550453461,0.08797451677465516
NaiveBayes,10,0.8806863077096738,0.8745102695001781,0.8301589090499267,0.9238680546845603,1.1053368635352712e-09,7.357027777777778e-05,0.008002519607543945,0.00011293865754596534,3.58966064453125,0.0013036727905273438,796758288.5935037,791170817.105633,110.05112775724463,0.2453397117221583
RandomForest,10,0.9652895360650187,0.9655751469353484,0.9720500394455088,0.9591859430604982,6.381975080536375e-06,0.00014594444444444445,15.725464105606079,0.00936582134490977,7.643442153930664,35.98532962799072,151252.4765270457,151297.2292668677,0.061383850395925414,0.12628989879495792
GradientBoosting,10,0.9531549836324642,0.9532183519332657,0.9530034937450693,0.9534333070244673,5.589826410524934e-06,0.00013478666666666666,12.536273956298828,0.0011345403352404355,8.641485214233398,0.19049835205078125,170516.02565650237,170527.36201941376,0.07603176086891059,0.11029990331552286
SVM,10,0.9599277570831922,0.9600674915635545,0.961906908599121,0.9582350959919165,2.5014034691509114e-05,0.0005509450000000001,114.14880561828613,0.6686067699592125,11.155094146728516,0.5789594650268555,38375.56671371511,38381.152956881626,0.008409441972552853,0.08605286019613853
KNN,10,0.9648944576137262,0.96500900090009,0.9666403696607686,0.9633831292822644,8.565958757344596e-09,8.058999999999999e-05,0.06810879707336426,0.038722350239713356,10.616250038146973,8.071004867553711,112642902.55733599,112656274.47396652,14.16695785383462,0.09088844499202704
DecisionTree,10,0.9474545659781014,0.947481243301179,0.9464668094218416,0.9484978540772532,7.37543070481066e-08,7.453694444444444e-05,0.7436139583587646,0.0001692936078381735,5.481820106506348,0.40343570709228516,12846091.352470027,12846453.057760814,1.2741215456326758,0.17283576395613054
LogisticRegression,20,0.8245851676261429,0.809931506849315,0.7463090273864533,0.885412488300575,4.362123977902483e-09,7.20225e-05,0.03993535041809082,6.313692138754551e-05,9.57005500793457,0.0008687973022460938,189032950.87514746,185673655.98782653,20.64800130694743,0.08616305412481705
NaiveBayes,20,0.837227678067502,0.8290861680692189,0.7883466696720388,0.8742657167854018,1.7735859492570719e-09,7.231166666666666e-05,0.014088153839111328,0.00014542214608593442,3.58966064453125,0.0013036727905273438,472053625.82975125,467463202.6807105,59.42777794938629,0.23323309944158524
RandomForest,20,0.9385370809346427,0.9390564665062399,0.9455651977910515,0.9326367274344153,6.457619515736977e-06,0.00015302111111111113,16.320046186447144,0.009476701189801796,7.64566707611084,54.2505578994751,145337.93430341675,145418.36418478892,0.05750823681577835,0.12275411309330161
GradientBoosting,20,0.9238627384580652,0.9242687924549486,0.9277583680829483,0.9208053691275168,5.503120017923721e-06,0.00013103277777777776,12.928776502609253,0.0010721973350723841,8.337102890014648,0.19043731689453125,167879.8091717125,167953.59531403918,0.07145786287446562,0.11081340252674295
SVM,20,0.9350378146517666,0.9352679826781396,0.9371125887523949,0.9334306241580602,3.4262117141607854e-05,0.0005521872222222223,170.49361753463745,0.9972510643018289,11.15506362915039,0.8590497970581055,27290.719099090882,27297.436956759215,0.005484298052751474,0.08382182708562304
KNN,20,0.9357150919968393,0.9358996004277111,0.9371125887523949,0.9346897482014388,7.283582171183215e-09,8.333583333333334e-05,0.06707477569580078,0.040376828235971135,10.616219520568848,8.071004867553711,128469078.81384316,128494410.91369945,13.950327560400918,0.08814014161857694
DecisionTree,20,0.9130263009369003,0.9131292632053667,0.9127690747210639,0.9134897360703812,7.317313442781221e-08,7.927305555555556e-05,0.7420754432678223,0.00016976457805312746,5.481820106506348,0.6182794570922852,12477616.383067911,12479023.487864932,1.230368568613825,0.16655531980212804
LogisticRegression,30,0.8091206682469805,0.7935286935286935,0.7324467485630565,0.8657253230318369,3.378156740246464e-09,7.46986111111111e-05,0.0361485481262207,5.6852833090873776e-05,9.569896697998047,0.0008687973022460938,239515431.18391496,234899903.8661537,22.383213439769573,0.08454852688391534
NaiveBayes,30,0.8107009820521504,0.802659449282184,0.7687366167023555,0.8397143912347654,1.8527667628454695e-09,7.129333333333333e-05,0.015083074569702148,0.00017678876240186973,3.58966064453125,0.0013036727905273438,437562351.7809009,433222068.4105234,53.74905350402704,0.22584334908850817
RandomForest,30,0.91776724235241,0.9186260820999721,0.9268567564521583,0.9105403011514615,6.2342354430710045e-06,0.00015867944444444444,16.64873433113098,0.01021993255787475,7.64472770690918,69.31556034088135,147214.08113844268,147351.84297875248,0.0551253461133261,0.12005231285385705
GradientBoosting,30,0.9012303871768823,0.9023764364610064,0.9115293587287276,0.8934055009389152,5.502939232285537e-06,0.00013644472222222224,13.503871202468872,0.0011287675860342855,8.62997055053711,0.19078826904296875,163772.5493840451,163980.81068509677,0.06673866876130402,0.10443029694009695
SVM,30,0.9124054633705836,0.9128872923215088,0.9164882226980728,0.9093145476909315,4.1609084509784005e-05,0.0005450163888888889,217.02639937400818,1.2701524946998832,11.155040740966797,1.0775251388549805,21928.035046193807,21939.614944107972,0.0042041220146596435,0.08179310901302063
KNN,30,0.9132520600519246,0.913869431213225,0.9189676546827454,0.9088274632189033,5.93231029190723e-09,8.039861111111111e-05,0.06405806541442871,0.043684075279421,10.616196632385254,8.071004867553711,153945430.21422356,154049499.47744846,14.256628796757571,0.08602441078248327
DecisionTree,30,0.8818715430635512,0.8826859480970798,0.8874112476050942,0.8780107047279215,7.166129342618715e-08,6.614833333333334e-05,0.8464374542236328,0.00011680061330858802,5.481820106506348,0.8004693984985352,12306106.977707569,12317471.620942308,1.041862619220246,0.16087203263326022
