Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
DecisionTree,0,0.9835760243819844,0.9835936178609684,0.9830947819226868,0.9840929602888088,4.9969110749223986e-08,7.719944444444444e-05,0.5167100429534912,0.0001126157065414,5.481820106506348,0.1463251113891601,19683680.770670097,19684032.85776391,1.903535721426873,0.1794250824127888
DecisionTree,10,0.9474545659781014,0.947481243301179,0.9464668094218416,0.9484978540772532,7.37543070481066e-08,7.453694444444444e-05,0.7436139583587646,0.0001692936078381,5.481820106506348,0.4034357070922851,12846091.352470027,12846453.057760814,1.2741215456326758,0.1728357639561305
DecisionTree,20,0.9130263009369004,0.9131292632053668,0.912769074721064,0.9134897360703812,7.317313442781221e-08,7.927305555555556e-05,0.7420754432678223,0.0001697645780531,5.481820106506348,0.6182794570922852,12477616.383067911,12479023.487864932,1.230368568613825,0.166555319802128
DecisionTree,30,0.8818715430635512,0.8826859480970798,0.8874112476050942,0.8780107047279215,7.166129342618715e-08,6.614833333333334e-05,0.8464374542236328,0.0001168006133085,5.481820106506348,0.8004693984985352,12306106.977707569,12317471.620942308,1.041862619220246,0.1608720326332602
DecisionTree,40,0.8499830680663731,0.8506741573033708,0.8532627070889215,0.8481012658227848,8.320158010751187e-08,6.279611111111112e-05,0.907644510269165,0.000225769664757,5.481820106506348,0.9887628555297852,10215948.627033737,10224254.830306614,0.936471337015312,0.1550548999332415
DecisionTree,50,0.8189411897505362,0.8190841416647868,0.8184379578496562,0.8197313466531211,9.577730131187579e-08,6.0655555555555553e-05,0.8642745018005371,0.0001689033753743,5.481820106506348,1.1564569473266602,8550472.591453072,8551965.136265805,0.9475475535196766,0.1493922043845507
DecisionTree,60,0.7892538661248448,0.7900123720616353,0.7916150118336527,0.7884162083286564,8.259856598562709e-08,6.290250000000001e-05,0.8827900886535645,0.000225769664757,5.481820106506348,1.3157587051391602,9555297.440178106,9564480.480195075,0.8940447749346829,0.1439766082779847
DecisionTree,70,0.7690484253301727,0.7705248990578735,0.7742589879409444,0.766826654760576,1.0296572621846057e-07,6.505111111111111e-05,0.9430980682373048,0.0001689975694173,5.481820106506348,1.4733819961547852,7468974.906256635,7483314.374174029,0.8154490516214935,0.1402907082662914
DecisionTree,80,0.7407156563946269,0.7419970796360777,0.7445058041248732,0.7395052054181126,1.105362907246812e-07,6.655305555555556e-05,0.8492617607116699,0.000226523217101,5.481820106506348,1.6017084121704102,6701108.310568951,6712701.093654486,0.8721876936669292,0.13512221160185
DecisionTree,90,0.7194378598035895,0.7215282057027618,0.72579736278598,0.7173089775005569,9.300727884878833e-08,6.581583333333333e-05,0.9233379364013672,0.0002257158395896,5.481820106506348,1.7532281875610352,7735285.546556578,7757760.625120813,0.7791706930265844,0.1312406911984747
DecisionTree,100,0.705497234450841,0.7088494587657628,0.7158796348472896,0.701956017239474,7.57038824091475e-08,6.58775e-05,0.937042236328125,0.0002252448693747,5.481820106506348,1.8360834121704104,9319168.475903608,9363449.220936002,0.7528980093953805,0.1286976261066081
GradientBoosting,0,0.9843661812845692,0.9843086160992466,0.9791502310379804,0.9895216400911162,5.560455391324705e-06,0.0001290344444444,11.951299667358398,0.0011850821674509,8.12138557434082,0.1905136108398437,177029.77760065388,177019.4249979853,0.0823647811269503,0.1212066798545599
GradientBoosting,10,0.9531549836324642,0.9532183519332657,0.9530034937450692,0.9534333070244672,5.589826410524934e-06,0.0001347866666666,12.536273956298828,0.0011345403352404,8.641485214233398,0.1904983520507812,170516.02565650237,170527.36201941376,0.0760317608689105,0.1102999033155228
GradientBoosting,20,0.9238627384580652,0.9242687924549486,0.9277583680829484,0.9208053691275168,5.503120017923721e-06,0.0001310327777777,12.928776502609251,0.0010721973350723,8.337102890014648,0.1904373168945312,167879.8091717125,167953.59531403918,0.0714578628744656,0.1108134025267429
GradientBoosting,30,0.9012303871768824,0.9023764364610064,0.9115293587287276,0.8934055009389152,5.502939232285537e-06,0.0001364447222222,13.503871202468872,0.0011287675860342,8.62997055053711,0.1907882690429687,163772.5493840451,163980.81068509677,0.066738668761304,0.1044302969400969
GradientBoosting,40,0.8773563607630658,0.8786101335120943,0.8862842330666065,0.871067789100576,5.39269127737047e-06,0.0001231688888888,16.12898087501526,0.0011850956237427,8.750443458557129,0.1906661987304687,162693.600585805,162926.0953986065,0.0543962676601683,0.1002642168843559
GradientBoosting,50,0.8544982503668586,0.8554122265844083,0.859461287050603,0.8514011387741431,4.999289627183838e-06,0.0001164822222222,18.09084272384644,0.0011894285497203,8.715519905090332,0.1904678344726562,170923.9340166431,171106.75523439771,0.047233744906781,0.0980432905520398
GradientBoosting,60,0.8323174173157242,0.8332304238001684,0.836470190465457,0.8300156564526951,5.0314764129264605e-06,0.0001167133333333,18.55223917961121,0.0011286733919912,8.827648162841797,0.1905441284179687,165422.10456902906,165603.56353047796,0.0448634479783138,0.0942852956939535
GradientBoosting,70,0.8155548030251721,0.8146341463414634,0.8093091400879071,0.8200296905332877,5.204848712676404e-06,0.0001193797222222,18.985955953598022,0.0011287137608668,8.707839965820312,0.1904983520507812,156691.35608858123,156514.47166128433,0.0429556881422458,0.0936575323187331
GradientBoosting,80,0.803702449486398,0.800045992871105,0.7841767158796349,0.8165708250205375,5.25482698103613e-06,0.0001234383333333,19.182177543640137,0.0011851225363264,8.793794631958008,0.1904678344726562,152945.55889029987,152249.73072535958,0.0418983948854579,0.0913942709744004
GradientBoosting,90,0.7824246528953607,0.7716638038263341,0.7341372703707878,0.8132334581772784,4.998191468251052e-06,0.0001246244444444,19.85382080078125,0.001072224247656,8.733990669250488,0.1904220581054687,156541.55265267254,154388.60410370628,0.0394092734464779,0.089583866359054
GradientBoosting,100,0.7864318771870414,0.7753769440816811,0.7360531950862166,0.8191395961369623,5.1191150335655966e-06,0.0001258783333333,19.462192058563232,0.0010767724743033,8.723318099975586,0.1903762817382812,153626.5295916336,151466.98970380647,0.0404081860265589,0.0901528372775082
KNN,0,0.9886556044700304,0.9885957446808512,0.9818550659303504,0.9954296160877514,7.295822056528457e-09,7.923111111111112e-05,0.0660099983215332,0.0356259229207687,10.620620727539062,8.071004867553711,135509829.7093691,135501625.04254532,14.977361454461963,0.093088307155764
KNN,10,0.9648944576137262,0.96500900090009,0.9666403696607686,0.9633831292822644,8.565958757344596e-09,8.058999999999999e-05,0.0681087970733642,0.0387223502397133,10.616250038146973,8.071004867553711,112642902.557336,112656274.47396652,14.16695785383462,0.090888444992027
KNN,20,0.9357150919968392,0.9358996004277113,0.9371125887523948,0.9346897482014388,7.2835821711832154e-09,8.333583333333334e-05,0.0670747756958007,0.0403768282359711,10.616219520568848,8.071004867553711,128469078.81384316,128494410.91369943,13.950327560400918,0.0881401416185769
KNN,30,0.9132520600519246,0.913869431213225,0.9189676546827454,0.9088274632189032,5.932310291907231e-09,8.039861111111111e-05,0.0640580654144287,0.043684075279421,10.616196632385254,8.071004867553711,153945430.21422356,154049499.47744846,14.256628796757573,0.0860244107824832
KNN,40,0.8864431651427926,0.8867882061670043,0.8880874563281866,0.8854927519946061,7.617043139693367e-09,7.398833333333333e-05,0.0720086097717285,0.0489723037847184,10.615212440490724,8.071004867553711,116376282.61856969,116421581.17049906,12.310238566650142,0.0835068699860908
KNN,50,0.8622869398351959,0.8615367154692998,0.8555167361658965,0.8676420162304264,1.2728704579924505e-08,6.776777777777777e-05,0.1493425369262695,0.0521766371080549,10.616143226623535,8.071004867553711,67743495.37463382,67684555.80531745,5.77388704907904,0.0812241245646274
KNN,60,0.8354216051473078,0.834955852388499,0.8312859235884142,0.838658328595793,1.3666431958929818e-08,6.0329166666666665e-05,0.1440019607543945,0.0553992306194398,10.615166664123535,8.071004867553711,61129459.95398842,61095379.89854977,5.801459929925385,0.0787007525723371
KNN,70,0.8183767919629755,0.8168051918478879,0.8085202299109658,0.8252617048199701,1.5166143113452663e-08,6.641166666666667e-05,0.1559984683990478,0.0512506423839961,10.616127967834473,8.071004867553711,53960772.08562404,53857146.52286026,5.246056582232256,0.0770880677439603
KNN,80,0.7975505136019867,0.7940044794119336,0.7791051504564409,0.8094847775175644,1.1349723146651006e-08,6.243527777777778e-05,0.1379973888397216,0.0561574792092238,10.616127967834473,8.071004867553711,70270481.7815157,69958048.2406941,5.7794609036284665,0.0751263093303381
KNN,90,0.7698950220115137,0.7631166114694091,0.7401104474247718,0.787598944591029,1.4468017350266814e-08,6.226527777777778e-05,0.1500830650329589,0.0527307941192616,10.616127967834473,8.071004867553711,53213581.6105664,52745071.62899801,5.129792770706282,0.0725212642824388
KNN,100,0.7582684275877638,0.7496346524814403,0.7226417220782148,0.7787223706582463,1.1572530376529109e-08,6.183444444444445e-05,0.1350789070129394,0.0579607165119478,10.616127967834473,8.071004867553711,65523131.32188014,64777073.64690232,5.613522083911501,0.071426082078628
LogisticRegression,0,0.854893328818151,0.8487380125904571,0.8129155866110673,0.8878631216149679,5.023172038844973e-09,7.684194444444444e-05,0.0461900234222412,5.669135758860384e-05,9.578446388244627,0.000868797302246,170189936.20109516,168964551.88614556,18.508181323123267,0.0892517736349538
LogisticRegression,10,0.8419686194830116,0.8308770234356124,0.7751605995717344,0.8952232200963165,4.5822494760948925e-09,7.649000000000001e-05,0.0418100357055664,5.689320196644126e-05,9.570596694946287,0.000868797302246,183745696.05506477,181325139.05456468,20.1379550453461,0.0879745167746551
LogisticRegression,20,0.8245851676261429,0.809931506849315,0.7463090273864533,0.885412488300575,4.362123977902483e-09,7.20225e-05,0.0399353504180908,6.313692138754551e-05,9.57005500793457,0.000868797302246,189032950.87514743,185673655.98782653,20.64800130694743,0.086163054124817
LogisticRegression,30,0.8091206682469805,0.7935286935286935,0.7324467485630565,0.8657253230318369,3.378156740246464e-09,7.46986111111111e-05,0.0361485481262207,5.6852833090873776e-05,9.569896697998049,0.000868797302246,239515431.18391496,234899903.8661537,22.383213439769573,0.0845485268839153
LogisticRegression,40,0.7922451743989164,0.775288443928942,0.715654231939592,0.8457645178476292,4.716726042207334e-09,6.517166666666667e-05,0.0486154556274414,0.0,9.569690704345703,0.000868797302246,167965060.36381146,164370039.0888343,16.296158581134986,0.0827869153638527
LogisticRegression,50,0.7800541821876058,0.763545901340938,0.7091175476163643,0.8270241850683491,4.788513458234215e-09,6.534138888888889e-05,0.0537042617797851,0.0,9.569379806518556,0.000868797302246,162901115.13547966,159453640.04938996,14.5249959004413,0.0815156465684684
LogisticRegression,60,0.7601309402867141,0.7458133971291866,0.7026935647469852,0.7945711736969543,4.728436377231106e-09,6.411472222222222e-05,0.0533699989318847,5.644914433519893e-05,9.569250106811523,0.000868797302246,160757358.17171642,157729392.47327307,14.242663584401726,0.0794347448130384
LogisticRegression,70,0.7517214132520601,0.7405485107637865,0.7075397272624817,0.7767879237812423,5.7725991545847505e-09,6.277055555555556e-05,0.0549120903015136,5.647605691891059e-05,9.568891525268556,0.000868797302246,130222347.52867313,128286841.14947134,13.689542851573774,0.0785588812734464
LogisticRegression,80,0.7381194265718478,0.7282417711139745,0.7006649385777076,0.758078283136203,4.791787185767575e-09,5.9946666666666666e-05,0.0429298877716064,0.0,9.568962097167969,0.000868797302246,154038440.76468763,151977068.86419678,17.193602519968277,0.0771368325087526
LogisticRegression,90,0.7168416299808105,0.7089738383896977,0.6887185844697397,0.7304566100884533,4.86678786492007e-09,6.0211666666666665e-05,0.0574748516082763,3.923854705159478e-05,9.569229125976562,0.000868797302246,147292557.20139828,145675927.95650682,12.4722658679746,0.074911115675439
LogisticRegression,100,0.7091658200699853,0.7033220104784386,0.6883804801081934,0.7189265536723164,4.606450957572371e-09,6.235722222222222e-05,0.0419988632202148,0.0,9.568870544433594,0.000868797302246,153950585.082039,152681970.77454478,16.885357500072775,0.0741117582035344
